name_short,iso,region_who,region_unicef,status_who,status_covax,status_csc,income_group,pop,pop_gen_fem,pop_gen_mal,pop_u18,pop_18p,pop_60p,pop_70per,pop_hcw,pop_old,pol_jj,pol_age_old,pol_age_old_source,del_date,del_dose_tot,del_dose_since_lm,del_cour_tot,del_cour_tot_per,del_cour_covax_prop,del_dose_jj_prop,pu_del_rem,pu_del_rem_per,pu_used_per,adm_tot_date,adm_tot_td,adm_tot_a1d,adm_tot_cps,adm_tot_cps_adj,adm_tot_pv,adm_tot_boost,adm_gen_date,adm_gen_fem_cps,adm_gen_mal_cps,adm_old_date,adm_old_target,adm_old_a1d,adm_old_cps,adm_old_cps_adj,adm_old_boost,adm_hcw_date,adm_hcw_target,adm_hcw_a1d,adm_hcw_cps,adm_hcw_cps_adj,adm_hcw_boost,dvr_4wk_td,dvr_4wk_td_per,dvr_4wk_td_max,dvr_4wk_td_max_per,dvr_4wk_cps,dvr_4wk_cps_per,dvr_4wk_td_lm,dvr_4wk_td_change_lm_trend,dvr_4wk_td_change_lm_per,cov_tot_a1d,cov_tot_cps,cov_tot_boost,cov_tot_cps_since_lm,cov_gen_fem_cps,cov_gen_mal_cps,cov_gen_diff,cov_hcw_a1d,cov_hcw_cps,cov_old_a1d,cov_old_cps,t10_status,t20_status,t40_status,t40_cour_req,t40_cour_need_del,t40_cour_need_adm,t70_status,t70_cour_req,t70_cour_need_del,t70_cour_need_adm,ct_target,ct_deadline,ct_status,fin_tot,fin_percapita,date_refresh,ri_dtp1,ri_dtp3,ri_mcv1,ri_mcv2,ri_zero_dose
Bulgaria,BGR,EUR,CEE-CIS,Member State,No,,UMIC,6951482,3548291,3348364,1214849,5681814,1959779,4866037.399999999,164649,1959779,,,,2023-11-20,14564590,34560,7282295,1.047588845083681,0,0.1220288384362347,8385115,1.206234152659821,0.424280738421061,2023-12-23,4723016,2155863,2080472,2080472,75391,864723,,,,2024-02-01,0,1615458,1517302,1517302,972862,2024-02-01,243600,74861,70608,70608,41384,0,0,19972.40306122449,0.002873114403694707,0,0,489.8571428571428,Downward,-1,0.3101299837933839,0.299284670520617,0.1243940500745021,0,,,,0.4546702379000176,0.4288395313667256,0.824306210036948,0.7742209708339562,1) Goal met by deadline,1) Goal met by deadline,3) Goal not yet met,3058652,0,978180,Goal not yet met,5352641,0,3272169,,,Not captured,120200,0.01729127688167789,31/12/2023,0.92,0.89,0.89,0.86,2454
Burkina Faso,BFA,AFR,WCARO,Member State,AMC,Concerted support country,LIC,20903273,10749446,10747651,10956973,10540123,851021,14632291.1,56988,1864749,0,50 and older,Region/IST,2023-11-20,11891480,684000,5945740,0.2844406232459386,0.6930911879766017,0.5793433618018952,2808723,0.1343676179323688,0.7638037485662004,2023-12-31,7893609,6089089,5232347,5232347,856742,4056,2022-02-01,558540,554986,2024-02-01,,24306,16386,16386,791,2024-02-01,,49283,45968,45968,43,0,0,29214.53571428571,0.001397605806243152,0,0,0,Stable,,0.2912983531335021,0.2503123314707701,0.0001940365989574934,0,0.05195988704906281,0.05163788813015979,0.0003219989189030131,0.8647960974240191,0.806625956341686,0.01303446201070493,0.008787241607315515,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,9197440,3251700,3965093,Goal not yet met,16095520,10149780,10863173,0.7,2022-12-31,Deadline past,51519592,2.464666274989567,31/12/2023,0.95,0.91,0.88,0.71,36840
Burundi,BDI,AFR,ESARO,Member State,AMC,Concerted support country,LIC,11890784,6172572,6082857,6312826,5942607,506228,8323548.8,7888,1320725,One dose,45 and older,Region/IST,2023-11-20,953600,0,476800,0.0400982811562299,0,0.4756711409395973,815988,0.0686235659482167,0.1443078859060403,2023-12-31,42252,36909,36321,36321,588,314,2022-02-01,3713,5205,,,,,,,2024-02-01,,1370,1348,1348,16,19.32142857142857,0.000001624907875832962,175.3821428571428,0.00001474941794057842,0,0,6.178571428571429,Upward,2.127167630057804,0.003104000543614282,0.00305455048212128,0.00002640700562721516,0,0.0006015320679936986,0.0008556834395416496,-0.000254151371547951,0.1736815415821501,0.1708924949290061,,,3) Goal not yet met,3) Goal not yet met,3) Goal not yet met,5231945,4755145,5195624,Goal not yet met,9155904,8679104,9119583,0.4,2021-12-31,Deadline past,24826288,2.087859639868994,31/12/2023,0.96,0.94,0.9,0.85,12499
Cabo Verde,CPV,AFR,WCARO,Member State,AMC,,LMIC,555987,279806,282095,184878,377020,44110,389190.9,4643,93080,One dose,50 and older,Regional assumption,2023-11-20,1172710,0,586355,1.054619982121884,0.5018802602518951,0,195499,0.3516251279256529,0.8332929709817432,2023-12-31,859940,356734,308720,308720,48014,749,2022-02-01,154322,144865,2024-02-01,,44154,40703,40703,,2024-02-01,,8326,7905,4643,,0,0,5036.137755102041,0.009058013505894994,0,0,0,Stable,,0.6416229156437111,0.5552647813707875,0.001347153800358642,0,0.551532132977849,0.5135326751626226,0.0379994578152264,1,1,0.4743661366566395,0.4372905027932961,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,244634,0,0,Goal not yet met,428110,0,119390,0.7,2021-12-31,Deadline past,9458878,17.01276828415053,31/12/2023,0.93,0.93,0.95,0.86,399
Cambodia,KHM,WPR,EAPRO,Member State,AMC,,LMIC,16718965,8671310,8275136,6104131,10842307,1323073,11703275.5,57786,1323073,One dose,60 and older,Region database,2023-11-20,52527363,302400,26263682,1.570891619188149,0.1280690574916343,0.02018186216582013,0,0,1,2023-12-31,47826645,15316670,14693274,14693274,623396,10782710,2021-05-01,1281089,1451288,2024-02-01,,1411594,1395915,1323073,1018532,2024-02-01,43646,43646,43646,56072.77966967453,43646,1449.630952380864,0.00008670578306616849,227508.7142857143,0.01360782286975984,73.30476190475747,0.000004384527505426171,2321.816052227414,Downward,-0.3756478033691891,0.9161254898254766,0.878838731943036,0.6449388463939005,0.0001745303412422627,0.1477388076311422,0.1753793532819279,-0.02764054565078569,1,0.9703523287591204,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,7356345,0,0,Goal met by deadline,12873603,0,0,0.95,2022-12-31,Deadline past,31233770,1.868164087908552,31/12/2023,0.94,0.92,0.84,0.71,19358
Cameroon,CMR,AFR,WCARO,Member State,AMC,Concerted support country,LMIC,26545863,13605827,13618435,13195561,14028704,1175882,18582104.1,186521,2512864,One dose,50 and older,Region/IST,2023-11-20,7076710,0,3538355,0.1332921442410819,0.2229157334411047,0.8493000278377947,1488467,0.05607152421452639,0.7896668084462978,2023-12-31,4880572,3753733,3197286,3197286,556447,803560,2022-02-01,337141,475922,2024-02-01,,997716,146598,146598,264458,2024-02-01,,174361,36914,36914,39594,0,0,73585.60714285714,0.002772017890051536,0,0,0,Stable,,0.1414055741943669,0.120443852211548,0.03027063011664002,0,0.02477916263377448,0.03494689367757749,-0.010167731043803,0.9348062684630684,0.197908010358083,0.3970433736167178,0.05833901078609905,2) Goal met after deadline,3) Goal not yet met,3) Goal not yet met,11680180,8141825,8482894,Goal not yet met,20440315,16901960,17243029,0.2,2022-12-31,Deadline past,57069388,2.149841125903498,31/12/2023,0.76,0.69,0.62,0.35,223522
Canada,CAN,AMR,Dev,Member State,Self-financing,,HIC,37742154,19170011,18897902,7188555,30879348,9678405,26419507.8,2629087,9678405,,,,2023-11-20,123749694,0,61874847,1.639409531316098,0.007854564876742241,0.0004929305118120131,12339990.60000001,0.3269551229111091,0.9002826576686322,2023-12-29,99034734,32647931,31314748,31314748,1333183,19860368,2023-12-01,10699777,10162556,2023-12-01,9969956,8980397,6515277,6515277,5543474,,,,,,,0,0,489074.0714285714,0.01295829780750117,0,0,0,Stable,,0.8650256421506838,0.8297021945276362,0.5262118320008975,0,0.5581518445659733,0.5377610699854407,0.02039077458053262,,,0.92787985210373,0.6731767269503601,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,16606548,0,0,Goal met by deadline,29061459,0,0,,,Not captured,,,31/12/2023,0.94,0.92,0.9,0.83,21722
CAR,CAF,AFR,WCARO,Member State,AMC,Concerted support country,LIC,4829767,2481019,2438968,2493641,2426340,221086,3380836.9,8672,458019,One dose,50 and older,Regional assumption,2023-11-20,5052034,0,2526017,0.5230101162229979,0.5884916847352967,0.8993407407788625,1204582.600000001,0.2494080149208027,0.761564827156745,2023-12-31,3342248,2600389,2484985,2484985,115404,366221,2022-02-01,,,2024-02-01,,692361,657725,458019,81531,2024-02-01,,99212,95108,8672,23143,0,0,18433.46428571429,0.003816636348236734,0,0,0,Stable,,0.5384087886641322,0.5145144682962967,0.07582581105879435,0,,,,1,1,1,1,2) Goal met after deadline,2) Goal met after deadline,2) Goal met after deadline,2125097,0,0,Goal not yet met,3718921,1192904,1233936,0.52,2023-12-31,Off track,21974656,4.549837704386154,31/12/2023,0.54,0.42,0.41,0,95451
Cayman Islands,CYM,AMR,,Territory or Area,,,HIC,65720,,,,,,46004,,,,,,2023-11-20,167006,0,83503,1.270587340231284,0,0,0,0,1,2023-12-29,152148,62113,60696,60696,1417,24064,2022-07-01,17672,19446,2022-07-01,,10291,4223,,4543,,,,,,,6.357142857142857,0.00009673071906790714,886.3705357142857,0.0134870744935223,0.2857142857142857,0.000004347448047995827,0,Upward,1,0.9451156421180766,0.9235544735240414,0.3661594643944005,0.0001217285453438688,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,28917,0,0,Goal met by deadline,50604,0,0,,,Not captured,,,31/12/2023,,,,,
Chad,TCD,AFR,WCARO,Member State,AMC,Concerted support country,LIC,16425864,8470165,8444820,9006055,7908930,665269,11498104.8,31500,424973,One dose,65 and older,Region/IST,2023-11-20,12148860,0,6074430,0.3698088575432014,0.7186238050319125,0.9437634477638231,1782209,0.1085001677841726,0.8533023674649309,2023-12-31,9151765,5147667,5020360,5020360,127307,4042573,2022-02-01,56350,86102,2024-02-01,,626386,620666,424973,419485,2024-02-01,,66432,60841,31500,46432,0,0,76836.75,0.004677790465086038,0,0,1369.414285714272,Downward,-1,0.3133878984995858,0.3056374994946993,0.2461102198337938,0,0.006652762962704977,0.01019583602729247,-0.003543073064587493,1,1,1,1,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,7227380,1152950,2207020,Goal not yet met,12647915,6573485,7627555,0.48,2022-12-31,Deadline past,37077071,2.25723718399227,31/12/2023,0.73,0.58,0.55,0,236272
Chile,CHL,AMR,LACRO,Member State,Self-financing,,HIC,19116201,9737022,9475340,4391727,14820634,3449362,13381340.7,505945,3449362,,,,2023-11-20,70403059,0,35201530,1.841450087284602,0.03277982519509805,0,0,0,1,2023-12-29,66864900,17538744,17721999,17721999,0,15779434,2023-12-01,9080289,8653457,2023-12-01,3598554,3266834,3259187,3259187,3211357,2023-12-01,,715641,703689,505945,262609,14.89285714285714,7.790699178595759e-7,226113.6479591837,0.01182837782251733,0,0,568.4285714285714,Downward,-0.9737999497361146,0.917480622849697,0.9270669941166657,0.8254482153645486,0.000005679550480253148,0.9325529920749897,0.9132608434103684,0.01929214866462126,1,1,0.9470835476241694,0.9448666159133197,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,8411128,0,0,Goal met by deadline,14719475,0,0,,,Not captured,1410773,0.07379986222157844,31/12/2023,0.99,0.95,0.92,0.58,2231
China,CHN,WPR,EAPRO,Member State,Self-financing,,UMIC,1471286879,703694342,740521760,303552966,1140663141,258370873,1029900815.3,18032270,258370873,,60 and older,Region database,2023-11-20,3840184700,0,1920092350,1.305042801241484,0,0,0,0,1,2023-04-20,3516880717,1318026807,1284479582,1284479582,33547225,834060133,,,,2024-02-01,,241703000,230351000,230351000,193022000,2024-02-01,13475000,12801250,12801250,16779889.61693166,,35996.39285714286,0.00002446592392749997,18284123.26190476,0.01242729988480021,2352.464285714286,0.000001598916104868142,363722.1558744907,Downward,-0.9010332687306404,0.8958326386325368,0.8730313580129467,0.566891572884067,0,,,,1,0.9305478243688489,0.9354885757575312,0.8915517346260621,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,647366227,0,0,Goal met by deadline,1132890897,0,0,,,Not captured,52113,0.00003542001274110459,31/12/2023,0.99,0.99,0.99,0.99,145509
CN Mariana Islands,MNP,WPR,,Territory or Area,,,HIC,57557,,,,,,40289.89999999999,,,,65 and older,Region database,,,,,,,0,,,,2023-05-30,123536,46824,45953,45953,871,26121,2021-05-01,10965,12242,2024-02-01,,38121,38085,,23150,2024-02-01,954,1904,951,,1566,35.63768115942054,0.0006191719714269428,502.6071428571428,0.008732337384803635,3.706382978723403,0.00006439499936972746,35.63768115942003,Stable,1.455471232217833e-14,0.8135239849192973,0.7983911600674114,0.4538283788244696,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,25325,,0,Goal met by deadline,44319,,0,,,Not captured,,,31/12/2023,,,,,
Colombia,COL,AMR,LACRO,Member State,Self-financing,,UMIC,50882891,26094433,25171408,13678632,37587212,6985756,35618023.7,1047323,6985756,,,,2023-11-20,106696286,0,53348143,1.048449526973615,0.2824079556058774,0.1011941783990494,5095465.400000006,0.1001410356184362,0.9522432730226429,2023-12-29,90931192,43012174,37204128,37204128,5808046,14944212,2023-12-01,17512465,16644613,2023-12-01,7107914,7506875,7119394,6985756,4352085,2023-12-01,1066077,1239144,1180121,1047323,781698,15163.57142857143,0.0002980092351390063,356310,0.007002550228523768,6583.107142857143,0.0001293776161982845,0,Upward,1,0.845317024144717,0.7311716623963053,0.2936981705697501,0.003622573253551975,0.6711188167989701,0.6612507730993832,0.009868043699586937,1,1,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,22388472,0,0,Goal met by deadline,39179826,0,1975698,,,Not captured,15878530,0.3120602954733842,31/12/2023,0.9,0.86,0.86,0.86,36325
Comoros,COM,AFR,ESARO,Member State,AMC,,LMIC,869601,440292,448164,400558,487893,46350,608720.7,2334,98646,One dose,50 and older,Regional assumption,2023-11-20,1182537,0,591268,0.6799302208714112,0.4065669036714316,0,229262.3,0.2636407961812372,0.806126742757309,2023-12-31,835021,438825,397080,397080,41745,0,2022-02-01,145313,154731,2024-02-01,,7673,6820,6820,,2024-02-01,,3206,2783,2334,,0,0,5788.678571428572,0.006656706433673111,0,0,0,Stable,,0.5046279845584354,0.4566232099549103,0,0,0.3300377931009421,0.3452553083246311,-0.01521751522368903,1,1,0.07778318431563368,0.06913610283235001,1) Goal met by deadline,1) Goal met by deadline,2) Goal met after deadline,382624,0,0,Goal not yet met,669593,78325,272513,0.6,2022-06-30,Deadline past,10920027,12.55751430828621,31/12/2023,0.95,0.85,0.82,0.19,926
Congo,COG,AFR,WCARO,Member State,AMC,,LMIC,5518087,2830380,2826637,2686794,2970219,261424,3862660.9,22903,604714,One dose,50 and older,Regional assumption,2023-11-20,3422510,0,1711255,0.3101174374380107,0.550096274371733,0.5764190608646871,2247049,0.4072152178825741,0.3434499826150983,2023-12-31,833210,695760,654119,654119,41641,0,,,,,,,,,,,,,,,,0,0,14117.13775510204,0.002558339104675595,0,0,0,Stable,,0.126087174776331,0.1185409001344125,0,0,,,,,,,,2) Goal met after deadline,3) Goal not yet met,3) Goal not yet met,2427958,716703,1773839,Goal not yet met,4248927,2537672,3594808,0.6,2022-12-31,Deadline past,14227625,2.578361848952363,31/12/2023,0.81,0.77,0.68,0.31,30822
Cook Islands,COK,WPR,EAPRO,Member State,No,,Other,17564,8574,8998,4416,12913,3337,12294.8,352,808,,75 and older,Region database,2023-11-20,44940,0,22470,1.27932133910271,0,0,366,0.0208380778865862,0.9918558077436582,2023-01-31,40080,15112,14728,14728,384,10240,,,,2024-02-01,,332,332,332,,2024-02-01,360,324,324,324,,1.759398496240725,0.0001001707183011116,518.0357142857143,0.02949417639977877,0.195488721804525,0.00001113007981123463,1.759398496240465,Stable,1.476596622751573e-13,0.8603962650876793,0.8385333636984742,0.5830107037121385,0,,,,0.9204545454545454,0.9204545454545454,0.4108910891089109,0.4108910891089109,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,7728,0,0,Goal met by deadline,13524,0,0,,,Not captured,198193,11.28404691414256,31/12/2023,0.99,0.98,0.99,0.98,3
Costa Rica,CRI,AMR,LACRO,Member State,Self-financing,,UMIC,5094118,2572219,2566834,1271622,3867430,801922,3565882.6,85457,801922,,,,2023-11-20,17852777,0,8926388,1.752293134945048,0.2527707735760534,0,2490564.300000001,0.4889098171656017,0.8604942917283961,2023-12-29,13576935,4650636,4369784,4369784,280852,2986527,2023-12-01,2218359,2152859,2023-12-01,888347,794162,794026,794026,688654,2023-12-01,,238143,223794,85457,174982,0,0,47071.07142857143,0.009240278970485455,0,0,0,Stable,,0.912942338595219,0.8578097327152611,0.586269693791938,0,0.8624300652471659,0.8387215534779421,0.02370851176922384,1,1,0.9903232483957292,0.99015365584184,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,2241412,0,0,Goal met by deadline,3922471,0,0,,,Not captured,2053753,0.4031616464322185,31/12/2023,0.99,0.99,0.89,0.69,2595
Côte d'Ivoire,CIV,AFR,WCARO,Member State,AMC,Concerted support country,LMIC,26378274,13420382,13633247,12996060,14057569,1272063,18464791.8,110740,2643443,0,50 and older,Region/IST,2023-11-20,29469844,0,14734922,0.5586006878236234,0.741328321928002,0.2129566753051017,1258927.600000001,0.04772592778435775,0.9572808189958522,2023-12-31,25263932,13568372,12164304,12164304,1404068,3138712,,,,2024-02-01,,8521108,7954222,2643443,,2024-02-01,,73916,43538,43538,6076,0,0,124164.9553571429,0.00470709172848621,0,0,0,Stable,,0.5143767935688287,0.461148595241675,0.118988528210754,0,,,,0.6674733610258262,0.3931551381614592,1,1,2) Goal met after deadline,2) Goal met after deadline,2) Goal met after deadline,11606441,0,0,Goal not yet met,20311271,5576349,8146967,0.7,2022-06-30,Deadline past,122912783,4.659621891864494,31/12/2023,0.85,0.76,0.68,0.1,68990
Croatia,HRV,EUR,CEE-CIS,Member State,No,,HIC,4058165,2112515,1969142,709119,3372532,1171841,2840715.5,109592,1171841,,,,2023-11-20,12104500,0,6052250,1.491376028328074,0,0.09377917303482176,5458084,1.344963548796069,0.5490863728365484,2023-12-23,5435966,2321669,2246622,2246622,75047,996098,,,,2024-02-01,2298710,1821966,1789240,1171841,1227998,2024-02-01,76405,60538,58903,77275.50193474145,32599,0,0,31891.96938775511,0.00785871678153922,0,0,0,Stable,,0.5720982266615576,0.5536053856854022,0.2454552735041577,0,,,,0.8783645319271348,0.705119916916759,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,1785593,0,0,Goal not yet met,3124787,0,878165,,,Not captured,,,31/12/2023,0.98,0.92,0.89,0.9,732
Cuba,CUB,AMR,LACRO,Member State,No,,UMIC,11326616,5699579,5617919,2151997,9165508,2487080,7928631.199999999,576167,2487080,,,,2023-11-20,50170813,0,25085406,2.214730860479423,0,0,0,0,1,2023-12-29,45857667,10786800,10043987,10043987,742813,8783298,,,,,,,,,,2023-12-01,499554,497557,467920,535857.3235599229,,272618.0357142857,0.02406879828134773,336376.5,0.02969788152083553,215.8571428571429,0.00001905751398803869,515.0357142857143,Upward,528.3187018930726,0.9523409286586567,0.8867597347698554,0.7754564999819893,0.0005336734542528143,,,,1,0.9300382069086269,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4983711,0,0,Goal met by deadline,8721494,0,0,,,Not captured,2226726,0.1965923449687003,31/12/2023,0.99,0.99,0.99,0.99,1100
Curaçao,CUW,AMR,,Territory or Area,,,HIC,164093,88940,75856,35925,128873,41471,114865.1,,41471,,,,,,,,,,0,,,,2023-12-29,260324,108601,100885,100885,7716,47473,,,,,,,,,,,,,,,,0,0,2313.678571428572,0.01409980054864358,0,0,0,Stable,,0.6618259157916547,0.6148038002839853,0.2893054548335395,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,72201,,0,Goal not yet met,126352,,25467,,,Not captured,,,31/12/2023,,,,,
Cyprus,CYP,EUR,MENA,Member State,No,,HIC,888005,607958,607630,243053,972531,245598,621603.5,29016,245598,,,,2023-11-20,3196883,28800,1598442,1.800037161952917,0,0.05946417181986328,985597.7000000002,1.109901070376856,0.6917004156861543,2023-12-23,1891597,669294,656138,656138,13156,520026,,,,2024-02-01,389346,373258,367674,245598,379852,2024-02-01,,3668,3635,3635,3351,145.9642857142857,0.0001643732700990261,10135.28571428571,0.0114135457731496,0,0,659.1785714285714,Downward,-0.7785663975727367,0.7537052156237859,0.7388899837275691,0.5856115675024353,0,,,,0.1264130135097877,0.1252757099531293,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,390722,0,0,Goal met by deadline,683764,0,27626,,,Not captured,,,31/12/2023,0.98,0.96,0.86,0.88,264
Czechia,CZE,EUR,Dev,Member State,No,,HIC,10693939,5442515,5282038,2011189,8713366,2825598,7485757.3,376756,2825598,,,,2023-11-20,35494010,0,17747005,1.659538641467845,0,0.03933621475849024,13329280,1.246433143110317,0.6244639588482677,2023-12-23,18615329,6972222,6887973,6887973,84249,4365928,,,,2024-02-01,5567745,4830748,4789646,2825598,4629432,2024-02-01,354319,365172,362419,376756,294385,0,0,92691.17857142857,0.008667636739972855,0,0,0,Stable,,0.6519788452131623,0.6441006442995421,0.4082619135942331,0,,,,1,1,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4705333,0,0,Goal not yet met,8234333,0,1346360,,,Not captured,,,31/12/2023,0.98,0.94,0.97,0.9,1095
Denmark,DNK,EUR,Dev,Member State,No,,HIC,5822763,2923821,2889481,1149819,4663479,1534340,4075934.1,519988,1534340,,,,2023-11-20,14487237,374990,7243618,1.244017316177904,0,0.003129168108452978,0,0,1,2023-12-23,14928430,4737987,4781285,4781285,0,3674678,,,,2024-02-01,3135378,3089586,3082026,1534340,3016630,2024-02-01,300624,298207,297040,477167.8538625048,283882,0,0,106591.1785714286,0.01830594488757804,0,0,633.8214285714286,Downward,-1,0.8137008152315318,0.8211368039537243,0.6310883681853443,0,,,,1,0.917651664774004,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,2562016,0,0,Goal met by deadline,4483528,0,0,,,Not captured,,,31/12/2023,0.98,0.97,0.95,0.94,1809
Djibouti,DJI,EMR,MENA,Member State,AMC,Concerted support country,LMIC,988000,476360,525837,340390,661797,76108,691600,7124,156816,One dose,50 and older,https://www.lanation.dj/la-vaccination-anti-covid-a-djibouti-que-faut-il-savoir/,2023-11-20,2234560,0,1117280,1.13085020242915,0.2839753687526851,0.2384362022053559,1287315,1.3029504048583,0.4239067198911642,2023-12-31,723789,372077,351712,351712,20365,0,,,,,,,,,,,,,,,,0,0,5746.734693877553,0.005816533090969183,0,0,4310.051020408166,Downward,-1,0.3765961538461539,0.3559838056680162,0,0,,,,,,,,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,434720,0,83008,Goal not yet met,760760,0,409048,0.4,2022-06-01,Deadline past,4614487,4.670533400809717,31/12/2023,0.7,0.59,0.5,0.48,2358
Dominica,DMA,AMR,LACRO,Member State,AMC,,UMIC,71991,36327,35845,15355,55794,11663,50393.7,1440,11663,One dose,60 and older,eJRF - multiple,2023-11-20,241160,0,120580,1.674931588670806,0.4932824680709902,0,149397,2.075217735550277,0.380506717531929,2023-12-29,67647,32995,30659,30659,2336,3993,2023-12-01,15693,16755,2023-12-01,10569,9439,9439,9439,,,,,,,,0,0,526.6071428571429,0.007314902458045352,0,0,0,Stable,,0.4583211790362684,0.4258726785292606,0.05546526649164479,0,0.4319927326781733,0.4674292090947134,-0.03543647641654007,,,0.8093114978993398,0.8093114978993398,1) Goal met by deadline,1) Goal met by deadline,2) Goal met after deadline,31676,0,1017,Goal not yet met,55433,0,24774,0.7,2022-12-31,Deadline past,1246229,17.31089997360781,31/12/2023,0.96,0.92,0.92,0.88,9
Dominican Republic,DOM,AMR,LACRO,Member State,Self-financing,,UMIC,10847910,5485072,5468642,3552155,7401548,1251287,7593536.999999999,180250,1251287,,,,2023-11-20,18009721,0,9004860,0.8301009134478439,0.02571944483312345,0,0,0,1,2023-12-29,16431089,7360900,6130483,6130483,1230417,2575142,,,,,,,,,,,,,,,,455.5357142857143,0.00004199294742357876,120034.3214285714,0.0110652025531712,108.5357142857143,0.00001000521891181935,300.9642857142857,Upward,0.5135872789842173,0.6785546708997401,0.5651303338615457,0.2373860033868275,0.000361070210101011,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4773080,0,0,Goal not yet met,8352891,0,2222408,,,Not captured,4222164,0.3892145122885422,31/12/2023,0.99,0.84,0.88,0.6,8202
DPRKorea,PRK,SEAR,EAPRO,Member State,AMC,,LIC,25778816,13225110,12661935,6193497,19693544,3988136,18045171.2,283804,3988136,One dose,60 and older,Regional assumption,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stable,,,,,,,,,,,,,,,,11342679,,,,19849688,,,0.2,2021-12-31,,22930,0.0008894900370909199,31/12/2023,0.42,0.41,0.42,0.41,6863
DRCongo,COD,AFR,WCARO,Member State,AMC,Concerted support country,LIC,89561403,46254249,46123737,48277927,44100066,4332461,62692982.09999999,321770,6322794,0,55 and older,Region/IST,2023-11-20,38705630,0,19352815,0.2160843215017523,0.5250355051706949,0.6816114348222726,16026396,0.17894311012524,0.5859414767309046,2023-12-31,18808671,17045721,14399520,14399520,2646201,0,2022-02-01,10088,10559,2024-02-01,,9501973,4412028,4412028,,2024-02-01,,914442,575395,321770,,0,0,78624.89285714286,0.0008778881328728498,0,0,0,Stable,,0.1903244079372003,0.1607781870054001,0,0,0.0002180988821156733,0.0002289276777378208,-0.00001082879562214748,1,1,1,0.6977972080064604,2) Goal met after deadline,3) Goal not yet met,3) Goal not yet met,39407017,20054202,25007497,Goal not yet met,68962280,49609465,54562760,0.45,2022-12-31,Deadline past,157456379,1.758082988047876,31/12/2023,0.81,0.65,0.55,0,587084
Ecuador,ECU,AMR,LACRO,Member State,Self-financing,,UMIC,17643054,8943298,8945176,5791434,12097041,2018072,12350137.8,208611,2018072,,,,2023-11-20,41460876,0,20730438,1.174991472564784,0.1530437996534371,0,0,0,1,2023-12-29,39585085,15345791,14249559,14249559,1096232,7732930,2023-12-01,7241634,7007925,2023-12-01,1973054,1885369,1839614,1839614,1482336,2023-02-01,,453774,478058,208611,275554,746.0714285714286,0.00004228697755906821,270197.5714285714,0.01531467122577369,320.4285714285714,0.00001816174067304739,0,Upward,1,0.8697922139783736,0.8076582999745963,0.4382988342041009,0.0005085287388453263,0.8097274629560594,0.7834306446290157,0.02629681832704367,1,1,0.9342426831153696,0.9115700530010822,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,7762944,0,0,Goal met by deadline,13585152,0,0,,,Not captured,47551881,2.695218242828028,31/12/2023,0.78,0.72,0.65,0.58,44563
Egypt,EGY,EMR,MENA,Member State,AMC,,LMIC,102334404,51585954,52672373,40625614,63632713,8717911,71634082.8,815267,8717911,0,0,0,2023-11-20,123940892,0,61970446,0.6055680550990457,0.573919058126514,0.1251681325643517,9355125.799999997,0.09141721097041809,0.9245194572264335,2023-12-31,102191677,56907319,42337175,42337175,14570144,15217352,,,,,,,,,,,,,,,,0,0,484384.0892857143,0.004733345486486776,0,0,258.8127090302961,Downward,-1,0.5560917616718616,0.413713993976063,0.1487022096693894,0,,,,,,,,2) Goal met after deadline,1) Goal met by deadline,2) Goal met after deadline,45027138,0,2689963,Goal not yet met,78797491,16827045,36460316,0.5,,No timeline,50471350,0.4932002144655086,31/12/2023,0.97,0.96,0.96,0.96,98076
