"ivac_study_id","first_author","study_design","publication_date","country","iso3c","continent","GNI_per_c_WB","year_GNI","q_GNI_per_c_WB","vaccine","vaccine_platform","dose_number","population_detail","history_of_COVID","outcome_detail","outcome_category","variant","timing_of_dose_days","max duration follow-up","VE","LCL","UCL"
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","hospitalization","severe","delta","14+","~38 weeks",97,"97",98
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","hospitalization","severe","delta","14-27","~38 weeks",98,"94",100
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","hospitalization","severe","delta","196-223","~38 weeks",95,"80",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","Infection","infection","delta","14+","~38 weeks",73,"72",75
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","Infection","infection","delta","14-27","~38 weeks",70,"39",86
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","Infection","infection","delta","168-195","~38 weeks",67,"48",80
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","Hospitalization","severe","delta","14+","~38 weeks",95,"93",97
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","Hospitalization","severe","delta","28-55","~38 weeks",89,"67",97
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","Hospitalization","severe","delta","168-195","~38 weeks",91,"34",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","excluded","Infection","infection","delta","14+","~38 weeks",90,"89",90
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","excluded","Infection","infection","delta","14-27","~38 weeks",94,"90",97
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","excluded","Infection","infection","delta","168-195","~38 weeks",96,"73",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","excluded","Hospitalization","severe","delta","14+","~38 weeks",98,"97",98
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","excluded","Hospitalization","severe","delta","28-55","~38 weeks",97,"93",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","excluded","Hospitalization","severe","delta","140-167","~38 weeks",96,"92",98
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","Infection","infection","delta","14+","~38 weeks",88,"88",89
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","Infection","infection","delta","14-27","~38 weeks",94,"88",97
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","Infection","infection","delta","140-167","~38 weeks",82,"77",85
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","Hospitalization","severe","delta","14+","~38 weeks",99,"99",100
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","Hospitalization","severe","delta","14-27","~38 weeks",91,"33",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","Hospitalization","severe","delta","140-167","~38 weeks",98,"91",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","excluded","Infection","infection","alpha","14+","~38 weeks",96,"92",98
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","excluded","Hospitalization","severe","alpha","14+","~38 weeks",96,"83",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","Infection","infection","alpha","14+","~38 weeks",95,"84",98
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","Infection","infection","alpha","14+","~38 weeks",75,"33",91
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","excluded","Infection","infection","alpha","14+","~38 weeks",96,"73",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","excluded","Infection","infection","gamma","14+","~38 weeks",92,"88",95
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","excluded","Hospitalization","severe","gamma","14+","~38 weeks",95,"82",98
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","Infection","infection","gamma","14+","~38 weeks",95,"85",98
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","Infection","infection","gamma","14+","~38 weeks",91,"63",98
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","excluded","Infection","infection","gamma","14+","~38 weeks",94,"76",99
114,"Skowronski","Test-negative case-control","19Apr2022","Canada","CAN","North America",46580,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","Infection","infection","gamma","14+","~38 weeks",96,"69",99
115,"Nordstrom","Retrospective cohort","18Oct2021","Sweden","SWE","Europe",56230,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","excluded","symptomatic disease","symptomatic","delta","14+","~11 weeks",78,"78",79
115,"Nordstrom","Retrospective cohort","18Oct2021","Sweden","SWE","Europe",56230,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","symptomatic disease","symptomatic","delta","14+","~11 weeks",87,"84",88
115,"Nordstrom","Retrospective cohort","18Oct2021","Sweden","SWE","Europe",56230,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","symptomatic disease","symptomatic","delta","14+","~11 weeks",50,"41",58
115,"Nordstrom","Retrospective cohort","18Oct2021","Sweden","SWE","Europe",56230,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","symptomatic disease","symptomatic","delta","14+","~11 weeks",67,"59",73
115,"Nordstrom","Retrospective cohort","18Oct2021","Sweden","SWE","Europe",56230,2019,4,"Heterologous platforms","Multiple","2",">= 18 years","excluded","symptomatic disease","symptomatic","delta","14+","~11 weeks",79,"62",88
116,"Reis","Retrospective cohort","20Oct2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","12-18 years","excluded","infection","infection","delta","14-20",NA,59,"52",65
116,"Reis","Retrospective cohort","20Oct2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","12-18 years","excluded","infection","infection","delta","7-21","~12 weeks",90,"88",92
116,"Reis","Retrospective cohort","20Oct2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","12-18 years","excluded","infection","infection","delta","21-27",NA,66,"59",72
116,"Reis","Retrospective cohort","20Oct2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","12-18 years","excluded","symptomatic disease","symptomatic","delta","14-20",NA,57,"39",71
116,"Reis","Retrospective cohort","20Oct2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","12-18 years","excluded","symptomatic disease","symptomatic","delta","7-21","~12 weeks",93,"88",97
116,"Reis","Retrospective cohort","20Oct2021","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","12-18 years","excluded","symptomatic disease","symptomatic","delta","21-27",NA,82,"73",91
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","40-59 years","unknown","death","death","other combinations","14+",NA,100,NA,NA
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","40-59 years","unknown","death","death","other combinations","14+","~25 weeks",95,"79",99
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1",">= 60 years","unknown","death","death","other combinations","14+",NA,75,"26",91
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 60 years","unknown","death","death","other combinations","14+","~25 weeks",87,"77",93
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","40-59 years","unknown","death","death","other combinations","14+",NA,96,"85",99
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","40-59 years","unknown","death","death","other combinations","14+","~25 weeks",88,"76",93
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1",">= 60 years","unknown","death","death","other combinations","14+",NA,97,"86",99
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 60 years","unknown","death","death","other combinations","14+","~25 weeks",90,"84",94
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1",">= 18 years","unknown","death","death","delta","14+",NA,92,"66",98
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","unknown","death","death","delta","14+","~25 weeks",90,"83",94
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1",">= 18 years","unknown","death","death","delta","14+",NA,96,"89",99
117,"Sheikh","Retrospective cohort","20Oct2021","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","unknown","death","death","delta","14+","~25 weeks",91,"86",94
118,"Embi","Test-negative case-control","30Dec2021","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","immunocompromised, >= 18 years","included","hospitalization","severe","other combinations","14+","~33 weeks",71,"65",76
118,"Embi","Test-negative case-control","30Dec2021","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","included","hospitalization","severe","other combinations","14+","~33 weeks",88,"86",89
118,"Embi","Test-negative case-control","30Dec2021","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2","immunocompromised, >= 18 years","included","hospitalization","severe","other combinations","14+","~33 weeks",81,"76",85
118,"Embi","Test-negative case-control","30Dec2021","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","included","hospitalization","severe","other combinations","14+","~33 weeks",93,"92",94
118,"Embi","Test-negative case-control","30Dec2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","immunocompromised, >= 18 years","included","hospitalization","severe","other combinations","14+","~33 weeks",76,"69",81
118,"Embi","Test-negative case-control","30Dec2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","included","hospitalization","severe","other combinations","14+","~33 weeks",91,"90",93
118,"Embi","Test-negative case-control","30Dec2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","immunocompromised, >= 18 years","included","hospitalization","severe","delta","14+","~33 weeks",79,"74",83
118,"Embi","Test-negative case-control","30Dec2021","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 18 years","included","hospitalization","severe","delta","14+","~33 weeks",90,"89",91
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","HCW","excluded","Infection","infection","other combinations","42+",NA,40,"33",46
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","Infection","infection","other combinations","14-90","~11 weeks",83,"80",85
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","Infection","infection","other combinations","181+","~29.5 weeks",55,"45",64
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","1","HCW","excluded","Hospitalization","severe","other combinations","42+",NA,82,"68",90
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","Hospitalization","severe","other combinations","14-90","~11 weeks",99,"97",100
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","Hospitalization","severe","other combinations","181+","~38 weeks",98,"89",100
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Moderna mRNA-1273","mRNA","1","HCW","excluded","Infection","infection","other combinations","42+",NA,61,"45",72
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Moderna mRNA-1273","mRNA","2","HCW","excluded","Infection","infection","other combinations","14-90","~11 weeks",84,"68",92
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Moderna mRNA-1273","mRNA","2","HCW","excluded","Infection","infection","other combinations","91-180","~24 weeks",69,"-124",96
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Moderna mRNA-1273","mRNA","1","HCW","excluded","Hospitalization","severe","other combinations","42+",NA,89,"22",98
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Moderna mRNA-1273","mRNA","2","HCW","excluded","Hospitalization","severe","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Moderna mRNA-1273","mRNA","2","HCW","excluded","Hospitalization","severe","other combinations","181+","~34 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Infection","infection","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Infection","infection","other combinations","181+","~29.5 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Hospitalization","severe","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Hospitalization","severe","other combinations","181+","~38 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","HCW","excluded","Infection","infection","other combinations","42+",NA,22,"-3",42
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Infection","infection","other combinations","14-90","~11 weeks",89,"73",95
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Infection","infection","other combinations","91-180","~24 weeks",63,"-166",95
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","HCW","excluded","Hospitalization","severe","other combinations","42+",NA,88,"10",98
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Hospitalization","severe","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Hospitalization","severe","other combinations","181+","~25 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Infection","infection","other combinations","14-90","~11 weeks",80,"72",86
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Infection","infection","other combinations","91-180","~24 weeks",62,"30",79
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Hospitalization","severe","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Hospitalization","severe","other combinations","181+","~25 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","1","HCW","excluded","Infection","infection","other combinations","42+",NA,38,"23",50
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Infection","infection","other combinations","14-90","~11 weeks",77,"71",82
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Infection","infection","other combinations","91-180","~24 weeks",55,"34",69
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","1","HCW","excluded","hospitalization","severe","other combinations","42+",NA,90,"27",99
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","hospitalization","severe","other combinations","14-90","~11 weeks",95,"64",99
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","hospitalization","severe","other combinations","91-180","~24 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","HCW","excluded","Infection","infection","other combinations","42+",NA,15,"-15",37
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Infection","infection","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Infection","infection","other combinations","91-180","~24 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","HCW","excluded","hospitalization","severe","other combinations","42+",NA,100,"-inf",100
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","hospitalization","severe","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Infection","infection","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Infection","infection","other combinations","91-180","~24 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Hospitalization","severe","other combinations","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","1","HCW","excluded","Infection","infection","delta","42+",NA,45,"37",51
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Infection","infection","delta","14-90","~11 weeks",85,"81",88
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Infection","infection","delta","181+","~29.5 weeks",56,"46",65
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","1","HCW","excluded","Hospitalization","severe","delta","42+",NA,83,"68",91
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Hospitalization","severe","delta","14-90","~11 weeks",100,"97",100
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","Hospitalization","severe","delta","181+","~38 weeks",98,"88",100
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","HCW","excluded","Infection","infection","delta","42+",NA,49,"-16",77
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Infection","infection","delta","14-90","~11 weeks",88,"71",95
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Infection","infection","delta","91-180","~24 weeks",62,"-177",95
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","HCW","excluded","Hospitalization","severe","delta","42+",NA,42,"-330",92
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Hospitalization","severe","delta","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","HCW","excluded","Hospitalization","severe","delta","181+","~25 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Infection","infection","delta","14-90","~11 weeks",80,"72",86
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Infection","infection","delta","91-180","~24 weeks",63,"33",80
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Hospitalization","severe","delta","14-90","~11 weeks",100,NA,NA
119,"Poukka","Retrospective cohort","31Jan2022","Finland","FIN","Europe",49950,2019,4,"Heterologous platforms","Multiple","2","HCW","excluded","Hospitalization","severe","delta","181+","~25 weeks",100,NA,NA
120,"Al Hosani","Retrospective cohort","18Mar2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","1",">= 15 years","included","Hospitalization","severe","other combinations","14+",NA,-20,"-28.6",11.8
120,"Al Hosani","Retrospective cohort","18Mar2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 15 years","included","Hospitalization","severe","other combinations","14+","~34 weeks",79.8,"78",81.4
120,"Al Hosani","Retrospective cohort","18Mar2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","1",">= 15 years","included","ICU admission","severe","other combinations","14+",NA,3.7,"-12.8",18.1
120,"Al Hosani","Retrospective cohort","18Mar2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 15 years","included","ICU admission","severe","other combinations","14+","~34 weeks",92.2,"89.7",94.1
120,"Al Hosani","Retrospective cohort","18Mar2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","1",">= 15 years","included","death","death","other combinations","14+",NA,27.9,"-61",72.6
120,"Al Hosani","Retrospective cohort","18Mar2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 15 years","included","death","death","other combinations","14+","~34 weeks",97.1,"83",99.9
121,"Ng","Retrospective cohort","01Nov2021","Singapore","SGP","Asia",58810,2019,4,"Multiple or heterologous RNA","mRNA","2","contacts of SARS-CoV-2 index cases of all ages","unknown","Infection","infection","delta","15+","~16.5 weeks",61.6,"37.5",80.4
121,"Ng","Retrospective cohort","01Nov2021","Singapore","SGP","Asia",58810,2019,4,"Multiple or heterologous RNA","mRNA","2","contacts of SARS-CoV-2 index cases of all ages","unknown","symptomatic disease","symptomatic","delta","15+","~16.5 weeks",67.9,"41.3",87.8
121,"Ng","Retrospective cohort","01Nov2021","Singapore","SGP","Asia",58810,2019,4,"Multiple or heterologous RNA","mRNA","2","contacts of SARS-CoV-2 index cases of all ages","unknown","severe disease","severe","delta","15+","~16.5 weeks",100,NA,NA
