"","Study_id_f","first author","study design","n_row","publication_date","clean_vaccine","vac_type","dose_number","dose","dose interval","timing_of_dose_days","population_detail","population_category","historyofCOVID","max duration follow-up","outcome_detail","outcome_category","outcome_final","variant_clean","VE","LCL","UCL","country_clean","Country.Code","continent","Region","GNI_per_c_WB","year_GNI","Economy","Income group","q_GNI_per_c_WB","min_period_days","max_period_days","include","justification","sensitivity"
"450",74,"Tang","Test-negative case-control",453,2021-11-02,"Moderna mRNA-1273","mRNA","1","1",NA,"14+","general pop","general pop","included",NA,"asymptomatic infection","asymptomatic","infection","delta",61.8,-9.6,86.7,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"451",74,"Tang","Test-negative case-control",454,2021-11-02,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","general pop","general pop","included","~25 weeks","asymptomatic infection","asymptomatic","infection","delta",53.6,33.4,67.6,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"452",74,"Tang","Test-negative case-control",455,2021-11-02,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+","general pop","general pop","included",NA,"infection","infection","infection","beta",18.9,-1.8,35.4,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"453",74,"Tang","Test-negative case-control",456,2021-11-02,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","general pop","general pop","included","~25 weeks","infection","infection","infection","beta",74.3,70.3,77.7,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"454",74,"Tang","Test-negative case-control",457,2021-11-02,"Moderna mRNA-1273","mRNA","1","1",NA,"14+","general pop","general pop","included",NA,"infection","infection","infection","beta",66.3,55.8,74.2,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"455",74,"Tang","Test-negative case-control",458,2021-11-02,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","general pop","general pop","included","~25 weeks","infection","infection","infection","beta",80.8,69,88.2,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"456",74,"Tang","Test-negative case-control",459,2021-11-02,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+","general pop","general pop","included",NA,"severe, critical, fatal disease","severe","severe","beta",74.8,-7.6,94.1,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"457",74,"Tang","Test-negative case-control",460,2021-11-02,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","general pop","general pop","included","~25 weeks","severe, critical, fatal disease","severe","severe","beta",92.7,81.5,97.1,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"458",74,"Tang","Test-negative case-control",461,2021-11-02,"Moderna mRNA-1273","mRNA","1","1",NA,"14+","general pop","general pop","included",NA,"severe, critical, fatal disease","severe","severe","beta",72.5,7.7,91.8,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"459",74,"Tang","Test-negative case-control",462,2021-11-02,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","general pop","general pop","included","~25 weeks","severe, critical, fatal disease","severe","severe","beta",100,NA,NA,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"460",75,"Nanduri","Retrospective cohort",463,2021-08-18,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","SNF residents","SNF residents","unknown","~16 weeks","infection","infection","infection","other combinations",74.2,69,78.7,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"461",75,"Nanduri","Retrospective cohort",464,2021-08-18,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","SNF residents","SNF residents","unknown","~16 weeks","infection","infection","infection","other combinations",74.7,66.2,81.1,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"462",75,"Nanduri","Retrospective cohort",465,2021-08-18,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","SNF residents","SNF residents","unknown","~22 weeks","infection","infection","infection","alpha",66.5,58.3,73.1,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"463",75,"Nanduri","Retrospective cohort",466,2021-08-18,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","SNF residents","SNF residents","unknown","~22 weeks","infection","infection","infection","alpha",70.4,60.1,78,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"464",75,"Nanduri","Retrospective cohort",467,2021-08-18,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","SNF residents","SNF residents","unknown","~25 weeks","infection","infection","infection","delta",52.4,48,56.4,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"465",75,"Nanduri","Retrospective cohort",468,2021-08-18,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","SNF residents","SNF residents","unknown","~25 weeks","infection","infection","infection","delta",50.6,45,55.7,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"466",76,"Chin","Retrospective cohort",469,2022-01-27,"Multiple or heterologous RNA","mRNA","1","1",NA,"14+","incarcerated persons","incarcerated persons","excluded",NA,"infection","infection","infection","original",74,64,82,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"467",76,"Chin","Retrospective cohort",470,2022-01-27,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","incarcerated persons","incarcerated persons","excluded","~5 weeks","infection","infection","infection","original",97,88,99,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"468",76,"Chin","Retrospective cohort",471,2022-01-27,"Multiple or heterologous RNA","mRNA","1","1",NA,"14+","incarcerated persons, moderate/high risk for severe disease","incarcerated persons, moderate/high risk for severe disease","excluded",NA,"infection","infection","infection","original",74,62,82,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"469",76,"Chin","Retrospective cohort",472,2022-01-27,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","incarcerated persons, moderate/high risk for severe disease","incarcerated persons, moderate/high risk for severe disease","excluded","~5 weeks","infection","infection","infection","original",92,74,98,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"470",76,"Chin","Retrospective cohort",473,2022-01-27,"Moderna mRNA-1273","mRNA","1","1",NA,"14+","incarcerated persons","incarcerated persons","excluded",NA,"infection","infection","infection","original",71,58,80,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"471",76,"Chin","Retrospective cohort",474,2022-01-27,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","incarcerated persons","incarcerated persons","excluded","~5 weeks","infection","infection","infection","original",96,67,99,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"472",77,"Tenforde","Case-control",475,2021-11-04,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","general pop","general pop","included","~30 weeks","hospitalization","severe","severe","other combinations",81,77,84,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"473",77,"Tenforde","Case-control",476,2021-11-04,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14-120","general pop","general pop","unknown",NA,"hospitalization","severe","severe","other combinations",85,82,88,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"474",77,"Tenforde","Case-control",477,2021-11-04,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"120+","general pop","general pop","unknown","~30 weeks","hospitalization","severe","severe","other combinations",64,51,73,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"475",77,"Tenforde","Case-control",478,2021-11-04,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","general pop","general pop","unknown","~30 weeks","hospitalization","severe","severe","other combinations",89,86,92,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"476",77,"Tenforde","Case-control",479,2021-11-04,"Moderna mRNA-1273","mRNA","2","final",NA,"14-120","general pop","general pop","unknown",NA,"hospitalization","severe","severe","other combinations",91,87,93,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"477",77,"Tenforde","Case-control",480,2021-11-04,"Moderna mRNA-1273","mRNA","2","final",NA,"120+","general pop","general pop","unknown","~30 weeks","hospitalization","severe","severe","other combinations",85,77,91,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"478",77,"Tenforde","Case-control",481,2021-11-04,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","immunocompetent adults","immunocompetent adults","unknown","~30 weeks","hospitalization","severe","severe","other combinations",90,87,91,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"479",77,"Tenforde","Case-control",482,2021-11-04,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","immucompromised","immunocompromised, >= 16 years","unknown","~30 weeks","hospitalization","severe","severe","other combinations",51,31,65,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"480",77,"Tenforde","Case-control",483,2021-11-04,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","general pop","general pop","unknown","~30 weeks","hospitalization","severe","severe","alpha",90,84,94,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"481",77,"Tenforde","Case-control",484,2021-11-04,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","general pop","general pop","unknown","~30 weeks","hospitalization","severe","severe","delta",86,79,90,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"482",78,"Pouwels","Prospective cohort",485,2021-10-14,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"21+","general pop","general pop","included",NA,"infection","infection","infection","alpha",59,52,95,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"483",78,"Pouwels","Prospective cohort",486,2021-10-14,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"21+","general pop","general pop","included",NA,"infection, ct<30","infection","infection","alpha",70,65,74,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"484",78,"Pouwels","Prospective cohort",487,2021-10-14,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","general pop","general pop","included","~28 weeks","infection","infection","infection","alpha",78,68,84,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"485",78,"Pouwels","Prospective cohort",488,2021-10-14,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","general pop","general pop","included","~28 weeks","infection, ct<30","infection","infection","alpha",94,94,96,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"486",78,"Pouwels","Prospective cohort",489,2021-10-14,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,"21+","general pop","general pop","included",NA,"infection","infection","infection","alpha",63,55,69,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"487",78,"Pouwels","Prospective cohort",490,2021-10-14,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,"21+","general pop","general pop","included",NA,"infection, ct<30","infection","infection","alpha",74,69,79,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"488",78,"Pouwels","Prospective cohort",491,2021-10-14,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"14+","general pop","general pop","included","~28 weeks","infection","infection","infection","alpha",79,56,90,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"489",78,"Pouwels","Prospective cohort",492,2021-10-14,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"14+","general pop","general pop","included","~28 weeks","infection, ct<30","infection","infection","alpha",86,71,93,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"490",78,"Pouwels","Prospective cohort",493,2021-10-14,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"21+","general pop","general pop","included",NA,"infection","infection","infection","delta",57,50,63,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"491",78,"Pouwels","Prospective cohort",494,2021-10-14,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"21+","general pop","general pop","included",NA,"infection, ct<30","infection","infection","delta",62,56,68,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"492",78,"Pouwels","Prospective cohort",495,2021-10-14,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","general pop","general pop","included","~28 weeks","infection","infection","infection","delta",80,77,83,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"493",78,"Pouwels","Prospective cohort",496,2021-10-14,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","general pop","general pop","included","~28 weeks","infection, ct<30","infection","infection","delta",84,82,86,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"494",78,"Pouwels","Prospective cohort",497,2021-10-14,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,"21+","general pop","general pop","included",NA,"infection","infection","infection","delta",46,35,55,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"495",78,"Pouwels","Prospective cohort",498,2021-10-14,"Oxford/AstraZeneca ChAdOx1-S","Vectored","1","1",NA,"21+","general pop","general pop","included",NA,"infection, ct<30","infection","infection","delta",50,41,59,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"496",78,"Pouwels","Prospective cohort",499,2021-10-14,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"14+","general pop","general pop","included","~28 weeks","infection","infection","infection","delta",67,62,71,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"497",78,"Pouwels","Prospective cohort",500,2021-10-14,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"14+","general pop","general pop","included","~28 weeks","infection, ct<30","infection","infection","delta",70,65,73,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"498",79,"Prasad","Retrospective cohort",501,2021-08-19,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","surgery patients","surgery patients","included","~8 weeks","post-operative infection","infection","infection","original",91,56,99,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"499",80,"Tartof","Retrospective cohort",502,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"infection","infection","infection","other combinations",58,54,61,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"500",80,"Tartof","Retrospective cohort",503,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7+",">= 12 years","general pop","included","~29 weeks","infection","infection","infection","other combinations",73,72,74,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"501",80,"Tartof","Retrospective cohort",504,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-36",">= 12 years","general pop","included","~3 weeks","infection","infection","infection","other combinations",88,86,89,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"502",80,"Tartof","Retrospective cohort",505,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"157+",">= 12 years","general pop","included","~29 weeks","infection","infection","infection","other combinations",47,43,51,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"503",80,"Tartof","Retrospective cohort",506,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"hospitalization","severe","severe","other combinations",54,43,63,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"504",80,"Tartof","Retrospective cohort",507,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7+",">= 12 years","general pop","included","~29 weeks","hospitalization","severe","severe","other combinations",90,89,92,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"505",80,"Tartof","Retrospective cohort",508,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-36",">= 12 years","general pop","included","~3 weeks","hospitalization","severe","severe","other combinations",87,82,91,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"506",80,"Tartof","Retrospective cohort",509,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"157+",">= 12 years","general pop","included","~29 weeks","hospitalization","severe","severe","other combinations",88,82,92,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"507",80,"Tartof","Retrospective cohort",510,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"infection","infection","infection","delta",74,55,85,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"508",80,"Tartof","Retrospective cohort",511,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7+",">= 12 years","general pop","included","~29 weeks","infection","infection","infection","delta",75,71,78,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"509",80,"Tartof","Retrospective cohort",512,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-36",">= 12 years","general pop","included","~3 weeks","infection","infection","infection","delta",93,85,97,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"510",80,"Tartof","Retrospective cohort",513,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"127+",">= 12 years","general pop","included","~29 weeks","infection","infection","infection","delta",53,39,65,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"511",80,"Tartof","Retrospective cohort",514,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"hospitalization","severe","severe","delta",79,-49,97,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"512",80,"Tartof","Retrospective cohort",515,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7+",">= 12 years","general pop","included","~29 weeks","hospitalization","severe","severe","delta",93,84,96,"USA","USA","North America","North America",66220,2019,"United States","High income",4,7,203,"yes",NA,0
"513",80,"Tartof","Retrospective cohort",516,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"infection","infection","infection","other combinations",74,64,81,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"514",80,"Tartof","Retrospective cohort",517,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7+",">= 12 years","general pop","included","~29 weeks","infection","infection","infection","other combinations",91,88,92,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"515",80,"Tartof","Retrospective cohort",518,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-36",">= 12 years","general pop","included","~3 weeks","infection","infection","infection","other combinations",97,95,99,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"516",80,"Tartof","Retrospective cohort",519,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"127+",">= 12 years","general pop","included","~29 weeks","infection","infection","infection","other combinations",67,45,80,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"517",80,"Tartof","Retrospective cohort",520,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"hospitalization","severe","severe","other combinations",75,21,92,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"518",80,"Tartof","Retrospective cohort",521,2021-10-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7+",">= 12 years","general pop","included","~29 weeks","hospitalization","severe","severe","other combinations",95,90,98,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"519",81,"Golberg","Retrospective cohort",522,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"168-203","16-39 years","16-39 years","excluded","28 weeks","infection","infection","infection","delta",55,50,60,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"520",81,"Golberg","Retrospective cohort",523,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"55-98","16-39 years","16-39 years","excluded","13 weeks","infection","infection","infection","delta",80,75,84,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"521",81,"Golberg","Retrospective cohort",524,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"168-203","40-59 years","40-59 years","excluded","28 weeks","infection","infection","infection","delta",57,53,61,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"522",81,"Golberg","Retrospective cohort",525,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"55-98","40-59 years","40-59 years","excluded","13 weeks","infection","infection","infection","delta",83,75,88,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"523",81,"Golberg","Retrospective cohort",526,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"168-203",">= 60 years",">= 60 years","excluded","28 weeks","infection","infection","infection","delta",57,52,62,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"524",81,"Golberg","Retrospective cohort",527,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"55-98",">= 60 years",">= 60 years","excluded","13 weeks","infection","infection","infection","delta",82,70,89,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"525",81,"Golberg","Retrospective cohort",528,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"168-203","40-59 years","40-59 years","excluded","28 weeks","severe disease","severe","severe","delta",98,94,99,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,168,203,"no","sequential period",0
"526",81,"Golberg","Retrospective cohort",529,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"168-203",">= 60 years",">= 60 years","excluded","13 weeks","severe disease","severe","severe","delta",93,86,97,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,168,203,"no","sequential period",1
"527",81,"Golberg","Retrospective cohort",530,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"109-159","40-59 years","40-59 years","excluded","22 weeks","severe disease","severe","severe","delta",92,87,95,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,109,159,"yes",NA,0
"528",81,"Golberg","Retrospective cohort",531,2021-10-27,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"109-159",">= 60 years",">= 60 years","excluded","22 weeks","severe disease","severe","severe","delta",85,81,88,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,109,159,"yes",NA,1
"529",82,"Chemaitelly","Test-negative case-control",532,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"infection","infection","infection","other combinations",36.8,33.2,40.2,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"530",82,"Chemaitelly","Test-negative case-control",533,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"28-63",">= 12 years","general pop","included","7 weeks","infection","infection","infection","other combinations",73.2,71.3,75,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"531",82,"Chemaitelly","Test-negative case-control",534,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"175+",">= 12 years","general pop","included","~32 weeks","infection","infection","infection","other combinations",22.3,-1.7,40.7,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"532",82,"Chemaitelly","Test-negative case-control",535,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"symptomatic disease","symptomatic","symptomatic","other combinations",47.9,43.6,51.9,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"533",82,"Chemaitelly","Test-negative case-control",536,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"28-63",">= 12 years","general pop","included","7 weeks","symptomatic disease","symptomatic","symptomatic","other combinations",72.5,69.6,75.1,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"534",82,"Chemaitelly","Test-negative case-control",537,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"175+",">= 12 years","general pop","included","~32 weeks","symptomatic disease","symptomatic","symptomatic","other combinations",27.8,-1.4,48.7,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"535",82,"Chemaitelly","Test-negative case-control",538,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","1","1",NA,"14+",">= 12 years","general pop","included",NA,"asymptomatic infection","asymptomatic","infection","other combinations",22.2,12.1,31.2,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"536",82,"Chemaitelly","Test-negative case-control",539,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"28-63",">= 12 years","general pop","included","7 weeks","asymptomatic infection","asymptomatic","infection","other combinations",66.9,61.9,71.3,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
"537",82,"Chemaitelly","Test-negative case-control",540,2021-10-06,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"175+",">= 12 years","general pop","included","~29 weeks","asymptomatic infection","asymptomatic","infection","other combinations",-33.3,-181.8,36.9,"Qatar","QAT","Asia","Middle East & North Africa",65700,2019,"Qatar","High income",4,NA,NA,NA,NA,NA
