"","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID ","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","n_row","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_intro_F40","diff_intro_F70","owid_who","V1_date_group","V40_date_group","V40_group","V1_dummy","V40_dummy","V70_dummy","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","earliest_date","min_pub_date"
"509",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","7-36","infection","infection","USA",">= 12 years","general pop",93,"85",97,"delta","delta","~3 weeks",NA,NA,512,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","23/08/2021",2021-08-23
"510",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","127+","infection","infection","USA",">= 12 years","general pop",53,"39",65,"delta","delta","~29 weeks",NA,NA,513,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","23/08/2021",2021-08-23
"511",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","hospitalization","severe","USA",">= 12 years","general pop",79,"-49",97,"delta","delta",NA,NA,NA,514,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","23/08/2021",2021-08-23
"512",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","7+","hospitalization","severe","USA",">= 12 years","general pop",93,"84",96,"delta","delta","~29 weeks",NA,NA,515,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","23/08/2021",2021-08-23
"513",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","infection ","infection","USA",">= 12 years","general pop",74,"64",81,"non-delta","non-delta",NA,NA,NA,516,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","23/08/2021",2021-08-23
"514",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","7+","infection ","infection","USA",">= 12 years","general pop",91,"88",92,"non-delta","non-delta","~29 weeks",NA,NA,517,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","23/08/2021",2021-08-23
"515",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","7-36","infection","infection","USA",">= 12 years","general pop",97,"95",99,"non-delta","non-delta","~3 weeks",NA,NA,518,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","23/08/2021",2021-08-23
"516",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","127+","infection","infection","USA",">= 12 years","general pop",67,"45",80,"non-delta","non-delta","~29 weeks",NA,NA,519,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","23/08/2021",2021-08-23
"517",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","hospitalization","severe","USA",">= 12 years","general pop",75,"21",92,"non-delta","non-delta",NA,NA,NA,520,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","23/08/2021",2021-08-23
"518",80,"Tartof","Retrospective cohort","16Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","7+","hospitalization","severe","USA",">= 12 years","general pop",95,"90",98,"non-delta","non-delta","~29 weeks",NA,NA,521,"USA","USA",80,"USA",66220,2019,"United States","North America","High income",4,"North America",2020-12-13,2021-05-14,NA,2020-12-14,2020-12-13,-1,152,NA,"owid","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-16,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","23/08/2021",2021-08-23
"519",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","168-203","infection","infection","Israel","16-39 years","16-39 years",55,"50",60,NA,"delta","28 weeks",NA,NA,522,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"520",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","55-98","infection","infection","Israel","16-39 years","16-39 years",80,"75",84,NA,"delta","13 weeks",NA,NA,523,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"521",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","168-203","infection","infection","Israel","40-59 years","40-59 years",57,"53",61,NA,"delta","28 weeks",NA,NA,524,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"522",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","55-98","infection","infection","Israel","40-59 years","40-59 years",83,"75",88,NA,"delta","13 weeks",NA,NA,525,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"523",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","168-203","infection","infection","Israel",">= 60 years",">= 60 years",57,"52",62,NA,"delta","28 weeks",NA,NA,526,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"524",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","55-98","infection","infection","Israel",">= 60 years",">= 60 years",82,"70",89,NA,"delta","13 weeks",NA,NA,527,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"525",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","168-203","severe disease","severe","Israel","40-59 years","40-59 years",98,"94",99,NA,"delta","28 weeks",NA,NA,528,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"526",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","168-203","severe disease","severe","Israel",">= 60 years",">= 60 years",93,"86",97,NA,"delta","13 weeks",NA,NA,529,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"527",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","109-159","severe disease","severe","Israel","40-59 years","40-59 years",92,"87",95,NA,"delta","22 weeks",NA,NA,530,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"528",81,"Golberg","Retrospective cohort","27Oct2021","BNT162b2 (Pfizer BioNTech)","excluded","2","final","109-159","severe disease","severe","Israel",">= 60 years",">= 60 years",85,"81",88,NA,"delta","22 weeks",NA,NA,531,"Israel","ISR",81,"ISR",43800,2019,"Israel","Middle East & North Africa","High income",4,"Asia",2020-12-20,2021-03-07,NA,2020-12-16,2020-12-16,4,81,NA,"who","before jan/2021","before Jun/2021","<180","yes","yes","no",2021-10-27,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","25/08/2021",2021-08-25
"529",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","infection","infection","Qatar",">= 12 years","general pop",36.8,"33.2",40.2,NA,"alpha, beta & delta",NA,NA,NA,532,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"530",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","28-63","infection ","infection","Qatar",">= 12 years","general pop",73.2,"71.3",75,NA,"alpha, beta & delta","7 weeks",NA,NA,533,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"531",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","175+","infection ","infection","Qatar",">= 12 years","general pop",22.3,"-1.7",40.7,NA,"alpha, beta & delta","~32 weeks",NA,NA,534,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"532",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","symptomatic disease","symptomatic","Qatar",">= 12 years","general pop",47.9,"43.6",51.9,NA,"alpha, beta & delta",NA,NA,NA,535,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"symptomatic","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"533",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","28-63","symptomatic disease","symptomatic","Qatar",">= 12 years","general pop",72.5,"69.6",75.1,NA,"alpha, beta & delta","7 weeks",NA,NA,536,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"symptomatic","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"534",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","175+","symptomatic disease","symptomatic","Qatar",">= 12 years","general pop",27.8,"-1.4",48.7,NA,"alpha, beta & delta","~32 weeks",NA,NA,537,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"symptomatic","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"535",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","asymptomatic infection","asymptomatic","Qatar",">= 12 years","general pop",22.2,"12.1",31.2,NA,"alpha, beta & delta",NA,NA,NA,538,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"536",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","28-63","asymptomatic infection","asymptomatic","Qatar",">= 12 years","general pop",66.9,"61.9",71.3,NA,"alpha, beta & delta","7 weeks",NA,NA,539,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"537",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","175+","asymptomatic infection","asymptomatic","Qatar",">= 12 years","general pop",-33.3,"-181.8",36.9,NA,"alpha, beta & delta","~29 weeks",NA,NA,540,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"538",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","severe, critical, fatal disease","severe","Qatar",">= 12 years","general pop",66.1,"56.8",73.5,NA,"alpha, beta & delta",NA,NA,NA,541,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"539",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","28-63","severe, critical, fatal disease","severe","Qatar",">= 12 years","general pop",96.8,"93.9",98.3,NA,"alpha, beta & delta","7 weeks",NA,NA,542,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"540",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","175+","severe, critical, fatal disease","severe","Qatar",">= 12 years","general pop",55.6,"-44.3",86.3,NA,"alpha, beta & delta","~32 weeks",NA,NA,543,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","other combinations","27/08/2021",2021-08-27
"541",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","infection","infection","Qatar",">= 12 years","general pop",47.9,"15.5",67.9,"alpha","alpha",NA,NA,NA,544,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","27/08/2021",2021-08-27
"542",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","28-63","infection","infection","Qatar",">= 12 years","general pop",88.6,"79.2",93.7,"alpha","alpha","7 weeks",NA,NA,545,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","27/08/2021",2021-08-27
"543",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","147+","infection","infection","Qatar",">= 12 years","general pop",80,"-71.2",97.7,"alpha","alpha","~29 weeks",NA,NA,546,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","alpha","27/08/2021",2021-08-27
"544",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","infection","infection","Qatar",">= 12 years","general pop",25.8,"-2",46.1,"beta","beta",NA,NA,NA,547,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","beta","27/08/2021",2021-08-27
"545",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","28-63","infection","infection","Qatar",">= 12 years","general pop",63.9,"52.6",72.5,"beta","beta","7 weeks",NA,NA,548,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","beta","27/08/2021",2021-08-27
"546",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","147+","infection ","infection","Qatar",">= 12 years","general pop",40,"-151.1",85.7,"beta","beta","~29 weeks",NA,NA,549,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","beta","27/08/2021",2021-08-27
"547",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","1","1","14+","infection","infection","Qatar",">= 12 years","general pop",63.4,"42.6",76.6,"delta","delta",NA,NA,NA,550,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","27/08/2021",2021-08-27
"548",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","28-63","infection","infection","Qatar",">= 12 years","general pop",73.3,"63.6",80.4,"delta","delta","7 weeks",NA,NA,551,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","27/08/2021",2021-08-27
"549",82,"Chemaitelly ","Test-negative case-control","06Oct2021","BNT162b2 (Pfizer BioNTech)","included","2","final","147+","infection","infection","Qatar",">= 12 years","general pop",17.9,"-12.9",40.3,"delta","delta","~29 weeks",NA,NA,552,"Qatar","QAT",82,"QAT",65700,2019,"Qatar","Middle East & North Africa","High income",4,"Asia",2021-01-28,2021-05-31,2021-08-16,NA,2021-01-28,NA,123,200,"owid","jan/2021","before Jun/2021","<180","yes","yes","yes",2021-10-06,"infection","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","delta","27/08/2021",2021-08-27
"550",83,"Nunes","Retrospective cohort","23Sept2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","1","1","14+ up to <14 post 2nd dose","hospitalization","severe","Portugal","65-79 years","65-79 years",78,"61",87,NA,"alpha & delta",NA,NA,NA,553,"Portugal","PRT",83,"PRT",23180,2019,"Portugal","Europe & Central Asia","High income",4,"Europe",2021-01-01,2021-07-09,2021-08-27,2020-12-23,2020-12-23,9,198,247,"who","before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2021-09-23,"severe","2021 (Jul-Dec)","Multiple or heterologous RNA","mRNA","other combinations",NA,2021-09-23
"551",83,"Nunes","Retrospective cohort","23Sept2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","2","final","14+","hospitalization","severe","Portugal","65-79 years","65-79 years",94,"88",97,NA,"alpha & delta","~14.5 weeks",NA,NA,554,"Portugal","PRT",83,"PRT",23180,2019,"Portugal","Europe & Central Asia","High income",4,"Europe",2021-01-01,2021-07-09,2021-08-27,2020-12-23,2020-12-23,9,198,247,"who","before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2021-09-23,"severe","2021 (Jul-Dec)","Multiple or heterologous RNA","mRNA","other combinations",NA,2021-09-23
"552",83,"Nunes","Retrospective cohort","23Sept2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","1","1","14+ up to <14 post 2nd dose","death","death","Portugal","65-79 years","65-79 years",77,"56",88,NA,"alpha & delta",NA,NA,NA,555,"Portugal","PRT",83,"PRT",23180,2019,"Portugal","Europe & Central Asia","High income",4,"Europe",2021-01-01,2021-07-09,2021-08-27,2020-12-23,2020-12-23,9,198,247,"who","before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2021-09-23,"death","2021 (Jul-Dec)","Multiple or heterologous RNA","mRNA","other combinations",NA,2021-09-23
"553",83,"Nunes","Retrospective cohort","23Sept2021","BNT162b2 (Pfizer BioNTech) or mRNA-1273 (Moderna)","excluded","2","final","14+","death","death","Portugal","65-79 years","65-79 years",96,"92",98,NA,"alpha & delta","~14.5 weeks",NA,NA,556,"Portugal","PRT",83,"PRT",23180,2019,"Portugal","Europe & Central Asia","High income",4,"Europe",2021-01-01,2021-07-09,2021-08-27,2020-12-23,2020-12-23,9,198,247,"who","before jan/2021","Jun-Aug/2021","180-269","yes","yes","yes",2021-09-23,"death","2021 (Jul-Dec)","Multiple or heterologous RNA","mRNA","other combinations",NA,2021-09-23
