"","...1","...2","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_1Dec2020","diff_intro_F40","diff_intro_F70","diff_min_vac_intro_1Dec2020_clean","V1_group","V40_group","V1_dummie","V40_dummie","V70_dummie","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes","max_follow_up_days","n_estimates","min_period_days","max_period_days","include","justification","sensitivity","VE1","LCL.1","UCL.1","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
"40",68,68,336,"Embi","Test-negative case-control","22May2023","Ad26.COV2.S (Janssen)","included",1,"final","14-149","hospitalization with COVID-like illness","severe","USA","immunocompetent adults >=18 years","immunocompetent adults",77,71,82,NA,"delta","~46 weeks",NA,NA,"USA","USA",336,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","22/05/2023","severe","2023 (Jan-Jun)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,322,2,14,149,"yes",NA,0,77,71,82,0.23,0.18,0.29,-1.46967597005894,0.121664304104671
"41",70,70,418,"Paternina-Caicedo","Test-negative case-control","09Sep2023","Ad26.COV2.S (Janssen)","excluded",1,"final","14+","hospitalization","severe","Colombia",">=5 years","general pop",73,23,91,NA,"delta","~22 weeks",NA,NA,"Colombia","COL",418,"COL",15530,2019,"Colombia","Latin America & Caribbean","Upper middle income",3,"South America","18/02/2021","26/10/2021","29/07/2022","17/02/2021","17/02/2021",1,78,251,527,78,"60-89","180-269","yes","yes","no","09/09/2023","severe","2023 (Jul-Dec)","Janssen Ad26.COV2.S","Vectored","delta","yes",NA,154,1,14,154,"yes",NA,0,73,23,91,0.27,0.09,0.77,-1.30933331998376,0.547597154213639
"42",71,71,49,"Nasreen","Test-negative case-control","07Feb2022","mRNA-1273 (Moderna)","unknown",2,"final","14+","hospitalization or death","severe","Canada","general pop","general pop",98,93,100,"delta","delta","~25 weeks",NA,NA,"Canada","CAN",49,"CAN",49140,2019,"Canada","North America","High income",4,"North America","16/12/2020","09/07/2021","28/09/2021","14/12/2020","14/12/2020",2,13,207,288,13,"<30","180-269","yes","yes","yes","07/02/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,175,1,14,175,"yes",NA,0,98,93,99.9,0.02,0.00099999999999989,0.07,-3.91202300542815,1.08379980664527
"43",72,72,74,"Tang","Test-negative case-control","02Nov2021","mRNA-1273 (Moderna)","included",2,"final","14+","severe, critical, fatal disease","severe","Qatar","general pop","general pop",96.1,71.4,99.5,"delta","delta","~25 weeks",NA,NA,"Qatar","QAT",74,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","02/11/2021","severe","2021 (Jul-Dec)","Moderna mRNA-1273","mRNA","delta","yes",NA,175,1,14,175,"yes",NA,0,96.1,71.4,99.5,0.039,0.005,0.286,-3.24419363285249,1.03228415775147
"44",73,73,92,"Grannis","Test-negative case-control","10Sept2021","mRNA-1273 (Moderna)","included",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",95,92,97,NA,"delta","4 weeks",NA,NA,"USA","USA",92,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","10/09/2021","severe","2021 (Jul-Dec)","Moderna mRNA-1273","mRNA","delta","yes",NA,28,1,14,28,"yes",NA,0,95,92,97,0.05,0.03,0.08,-2.99573227355399,0.250211544135644
"45",75,75,104,"Bruxvoort","Test-negative case-control","15Dec2021","mRNA-1273 (Moderna)","excluded",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",97.5,92.7,99.2,"delta","delta","~25 weeks",NA,NA,"USA","USA",104,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","15/12/2021","severe","2021 (Jul-Dec)","Moderna mRNA-1273","mRNA","delta","yes",NA,175,1,14,175,"yes",NA,0,97.5,92.7,99.2,0.025,0.00800000000000001,0.073,-3.68887945411394,0.564035178435856
"46",76,76,114,"Skowronski","Test-negative case-control","19Apr2022","mRNA-1273 (Moderna)","excluded",2,"final","14+","hospitalization","severe","Canada",">= 18 years","general pop",97,97,98,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",49140,2019,"Canada","North America","High income",4,"North America","16/12/2020","09/07/2021","28/09/2021","14/12/2020","14/12/2020",2,13,207,288,13,"<30","180-269","yes","yes","yes","19/04/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,266,3,14,266,"yes",NA,0,97,97,98,0.03,0.02,0.03,-3.50655789731998,0.103434976558205
"47",79,79,159,"Tseng","Test-negative case-control","21Feb2022","mRNA-1273 (Moderna)","included",2,"final","14+","Hospitalization","severe","USA",">= 18 years","general pop",99,93.3,99.9,"delta","delta","~47.5 weeks",NA,NA,"USA","USA",159,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","21/02/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,332.5,1,14,332.5,"yes",NA,0,99,93.3,99.9,0.01,0.00099999999999989,0.0670000000000001,-4.60517018598809,1.07262566821201
"48",80,80,174,"Lytras","Retrospective cohort","14Jun2022","mRNA-1273 (Moderna)","included",2,"final","14+","intubation","severe","Greece","15-59 years","15-59 years",99.4,98.2,99.8,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,336,6,14,336,"yes",NA,0,99.4,98.2,99.8,0.00599999999999989,0.002,0.018,-5.1159958097541,0.56051647381026
"49",82,82,174,"Lytras","Retrospective cohort","14Jun2022","mRNA-1273 (Moderna)","included",2,"final","14+","intubation","severe","Greece","60-79 years","60-79 years",98.9,97.3,99.5,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,336,6,14,336,"yes",NA,1,98.9,97.3,99.5,0.0109999999999999,0.005,0.027,-4.50986000618378,0.430203814686283
"50",84,84,174,"Lytras","Retrospective cohort","14Jun2022","mRNA-1273 (Moderna)","included",2,"final","14+","intubation","severe","Greece",">= 80 years",">= 80 years",97.9,90.2,99.5,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,336,6,14,336,"yes",NA,1,97.9,90.2,99.5,0.0209999999999999,0.005,0.098,-3.86323284125872,0.759063664856242
"51",86,86,178,"Lauring","Test-negative case-control","09Mar2022","mRNA-1273 (Moderna)","excluded",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",88,86,90,"delta","delta","~27 weeks",NA,NA,"USA","USA",178,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","09/03/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,189,1,14,189,"yes",NA,0,88,86,90,0.12,0.1,0.14,-2.12026353620009,0.0858347542401054
"52",89,89,203,"Baum","Retrospective cohort","05Nov2022","mRNA-1273 (Moderna)","excluded",2,"final","14-90","hospitalization","severe","Finland",">= 70 years",">= 70 years",92,42,99,NA,"delta","~48.5 weeks",NA,NA,"Finland","FIN",203,"FIN",52070,2019,"Finland","Europe & Central Asia","High income",4,"Europe","17/01/2021","15/08/2021","31/10/2021","23/12/2020","23/12/2020",25,22,235,312,22,"<30","180-269","yes","yes","yes","05/11/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","delta","yes",NA,339.5,2,14,90,"yes",NA,1,92,42,99,0.08,0.01,0.58,-2.52572864430826,1.03582729860878
"53",91,91,218,"Starrfelt","Retrospective cohort","30Mar2022","mRNA-1273 (Moderna)","excluded",2,"final","18-25 weeks","hospitalization","severe","Norway",">= 18 years","general pop",95.3,91.5,97.4,NA,"delta","~23 weeks",NA,NA,"Norway","NOR",218,"NOR",71400,2019,"Norway","Europe & Central Asia","High income",4,"Europe","28/12/2020","12/08/2021","18/11/2021","23/12/2020","23/12/2020",5,22,232,330,22,"<30","180-269","yes","yes","yes","30/03/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,161,2,126,175,"yes",NA,0,95.3,91.5,97.4,0.047,0.0259999999999999,0.085,-3.05760767727208,0.30218232614001
"54",93,93,230,"Plumb","Test-negative case-control","12Apr2022","mRNA-1273 (Moderna)","included",2,"final","14+","hospitalization","severe","USA","hospitalized adults","general pop",44,29.9,55.2,NA,"delta","~55 weeks",NA,NA,"USA","USA",230,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","12/04/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,385,1,14,385,"yes",NA,0,44,29.9,55.2,0.56,0.448,0.701,-0.579818495252942,0.114212922096838
"55",94,94,235,"Voko","Retrospective cohort","22Jul2022","mRNA-1273 (Moderna)","included",2,"final","14-120","hospitalization","severe","Hungary","18-64 years","18-64 years",84.9,75.4,90.8,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",33630,2019,"Hungary","Europe & Central Asia","High income",4,"Europe","28/12/2020","05/06/2021",NA,"23/12/2020","23/12/2020",5,22,164,NA,22,"<30","<180","yes","yes","no","22/07/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","delta","yes",NA,329,2,14,120,"yes",NA,0,84.9,75.4,90.8,0.151,0.0920000000000001,0.246,-1.89047544216721,0.250903816041664
"56",96,96,310,"Penayo","Test-negative case-control","01Jun2022","mRNA-1273 (Moderna)","included",2,"final","14+","hospitalization with SARI","severe","Paraguay",">=18 years","general pop",76.1,-127.4,97.5,NA,"delta","~37 weeks",NA,NA,"Paraguay","PRY",310,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America","23/02/2021","10/12/2021",NA,"22/02/2021","22/02/2021",1,83,291,NA,83,"60-89","270-359","yes","yes","no","01/06/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,259,1,14,259,"yes",NA,0,76.1,NA,97.5,0.239,0.025,NA,-1.43129172705063,1.15183047299148
"57",97,97,311,"Monge","Case cohort","02Sept2022","mRNA-1273 (Moderna)","included",2,"final","14+","hospitalization","severe","Spain","50-59 years","50-59 years",98,97,99,NA,"delta","~21 weeks",NA,NA,"Spain","ESP",311,"ESP",43160,2019,"Spain","Europe & Central Asia","High income",4,"Europe","04/01/2021","04/07/2021","31/08/2021","30/12/2020","30/12/2020",5,29,186,244,29,"<30","180-269","yes","yes","yes","02/09/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","delta","yes",NA,147,1,14,147,"yes",NA,0,98,97,99,0.02,0.01,0.03,-3.91202300542815,0.28025823690513
"58",98,98,326,"Lin","Retrospective cohort","26Sep2022","mRNA-1273 (Moderna)","included",2,"final","~24 weeks","hospitalization","severe","USA",">=5 years","general pop",89.8,88.1,91.3,NA,"delta","~24 weeks",NA,"Note: this study includes additional VE estimates for individuals vaccinated during different time periods","USA","USA",326,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","26/09/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","delta","yes",NA,168,2,NA,168,"yes",NA,0,89.8,88.1,91.3,0.102,0.0870000000000001,0.119,-2.28278246569787,0.0799018812390167
"59",100,100,336,"Embi","Test-negative case-control","22May2023","mRNA-1273 (Moderna)","included",2,"final","14-149","hospitalization with COVID-like illness","severe","USA","immunocompetent adults >=18 years","immunocompetent adults",95,92,95,NA,"delta","~46 weeks",NA,NA,"USA","USA",336,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","22/05/2023","severe","2023 (Jan-Jun)","Moderna mRNA-1273","mRNA","delta","yes",NA,322,2,14,149,"yes",NA,0,95,92,95,0.05,0.05,0.08,-2.99573227355399,0.119898885011667
"60",102,102,387,"Altarawneh","Test-negative case-control","27Jul2023","mRNA-1273 (Moderna)","excluded",2,"final","14+","severe, critical or fatal disease","severe","Qatar","all ages","general pop",97.9,91.2,99.5,NA,"delta","~48 weeks",NA,NA,"Qatar","QAT",387,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","27/07/2023","severe","2023 (Jul-Dec)","Moderna mRNA-1273","mRNA","delta","yes",NA,336,1,14,336,"yes",NA,0,97.9,91.2,99.5,0.0209999999999999,0.005,0.088,-3.86323284125872,0.731606862766353
"61",103,103,43,"Stowe","Test-negative case-control","14June2021","AZD1222 (AstraZeneca)","included",2,"final","14+","hospitalization","severe","UK","hospital patients","general pop",92,75,97,"delta","delta","~20 weeks",NA,NA,"UK","GBR",43,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","14/06/2021","severe","2021 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,140,1,14,140,"yes",NA,0,92,75,97,0.08,0.03,0.25,-2.52572864430826,0.540883555153084
"62",104,104,49,"Nasreen","Test-negative case-control","07Feb2022","AZD1222 (AstraZeneca)","unknown",2,"final","14+","hospitalization or death","severe","Canada","general pop","general pop",90,67,97,"delta","delta","~3 weeks",NA,NA,"Canada","CAN",49,"CAN",49140,2019,"Canada","North America","High income",4,"North America","16/12/2020","09/07/2021","28/09/2021","14/12/2020","14/12/2020",2,13,207,288,13,"<30","180-269","yes","yes","yes","07/02/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,21,1,14,21,"yes",NA,0,90,67,97,0.1,0.03,0.33,-2.30258509299405,0.611707977754686
"63",105,105,95,"Andrews","Test-negative case-control","12Jan2022","AZD1222 (AstraZeneca)","excluded",2,"final","14+","hospitalization","severe","UK",">= 16 years","general pop",92.5,92,93,"delta","delta","~20.5 weeks",NA,NA,"UK","GBR",95,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","12/01/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,143.5,3,14,143.5,"yes",NA,0,92.5,92,93,0.075,0.07,0.08,-2.59026716544583,0.0340641307715619
"64",108,108,114,"Skowronski","Test-negative case-control","19Apr2022","AZD1222 (AstraZeneca)","excluded",2,"final","14+","Hospitalization","severe","Canada",">= 18 years","general pop",95,93,97,"delta","delta","~38 weeks",NA,NA,"Canada","CAN",114,"CAN",49140,2019,"Canada","North America","High income",4,"North America","16/12/2020","09/07/2021","28/09/2021","14/12/2020","14/12/2020",2,13,207,288,13,"<30","180-269","yes","yes","yes","19/04/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,266,3,14,266,"yes",NA,0,95,93,97,0.05,0.03,0.07,-2.99573227355399,0.216147413364082
"65",111,111,146,"Katikireddi","Retrospective cohort","20Dec2021","AZD1222 (AstraZeneca)","excluded",2,"final","14-27","severe disease","severe","Scotland",">= 18 years","general pop",83.7,79.7,87,NA,"delta","~20 weeks",NA,NA,"UK","GBR",146,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","20/12/2021","severe","2021 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,140,2,14,27,"yes",NA,0,83.7,79.7,87,0.163,0.13,0.203,-1.81400507817538,0.113691716476073
"66",113,113,174,"Lytras","Retrospective cohort","14Jun2022","AZD1222 (AstraZeneca)","included",2,"final","14+","intubation","severe","Greece","15-59 years","15-59 years",97.8,95.3,99,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,336,6,14,336,"yes",NA,0,97.8,95.3,99,0.022,0.01,0.047,-3.81671282562382,0.394786354264289
"67",115,115,174,"Lytras","Retrospective cohort","14Jun2022","AZD1222 (AstraZeneca)","included",2,"final","14+","intubation","severe","Greece","60-79 years","60-79 years",97.2,95.3,98.3,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,336,6,14,336,"yes",NA,1,97.2,95.3,98.3,0.028,0.017,0.047,-3.57555076880693,0.259422004503531
"68",117,117,174,"Lytras","Retrospective cohort","14Jun2022","AZD1222 (AstraZeneca)","included",2,"final","14+","intubation","severe","Greece",">= 80 years",">= 80 years",97.8,91.7,99.4,NA,"delta","~48 weeks",NA,NA,"Greece","GRC",174,"GRC",30860,2019,"Greece","Europe & Central Asia","High income",3,"Europe","29/12/2020","09/07/2021","24/01/2022","23/12/2020","23/12/2020",6,22,198,397,22,"<30","180-269","yes","yes","yes","14/06/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,336,6,14,336,"yes",NA,1,97.8,91.7,99.4,0.022,0.00599999999999989,0.083,-3.81671282562382,0.670173759838919
"69",119,119,194,"Smid","Retrospective cohort","15Oct2022","AZD1222 (AstraZeneca)","included",2,"final","75-135","hospitalization","severe","Czech Republic","all ages","general pop",80,62,89,NA,"delta","~54 weeks",NA,NA,"Czech Republic","CZE",194,"CZE",41530,2019,"Czechia","Europe & Central Asia","High income",4,"Europe","27/12/2020","16/07/2021",NA,"23/12/2020","23/12/2020",4,22,205,NA,22,"<30","180-269","yes","yes","no","15/10/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,378,2,75,135,"yes",NA,0,80,62,89,0.2,0.11,0.38,-1.6094379124341,0.316247675236739
"70",121,121,203,"Baum","Retrospective cohort","05Nov2022","AZD1222 (AstraZeneca)","excluded",2,"final","91-180","hospitalization","severe","Finland",">= 70 years",">= 70 years",79,67,87,NA,"delta","~48.5 weeks",NA,NA,"Finland","FIN",203,"FIN",52070,2019,"Finland","Europe & Central Asia","High income",4,"Europe","17/01/2021","15/08/2021","31/10/2021","23/12/2020","23/12/2020",25,22,235,312,22,"<30","180-269","yes","yes","yes","05/11/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,339.5,2,91,180,"yes",NA,1,79,67,87,0.21,0.13,0.33,-1.56064774826467,0.237642398980853
"71",123,123,235,"Voko","Retrospective cohort","22Jul2022","AZD1222 (AstraZeneca)","included",2,"final","14-120","hospitalization","severe","Hungary","18-64 years","18-64 years",76.2,70.6,80.7,NA,"delta","~47 weeks",NA,NA,"Hungary","HUN",235,"HUN",33630,2019,"Hungary","Europe & Central Asia","High income",4,"Europe","28/12/2020","05/06/2021",NA,"23/12/2020","23/12/2020",5,22,164,NA,22,"<30","<180","yes","yes","no","22/07/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,329,2,14,120,"yes",NA,0,76.2,70.6,80.7,0.238,0.193,0.294,-1.43548460531066,0.107369790416785
"72",125,125,247,"Kirsebom","Test-negative case-control","12Dec2022","AZD1222 (AstraZeneca)","included",2,"final","175+","hospitalization","severe","UK",">= 65 years",">= 65 years",73.4,70.4,76.2,"delta","delta","~44.5 weeks",NA,NA,"UK","GBR",247,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","12/12/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,311.5,1,175,311.5,"yes",NA,1,73.4,70.4,76.2,0.266,0.238,0.296,-1.32425897020044,0.0556348930236188
"73",126,126,259,"Tsundue","Prospective cohort","24May2022","AZD1222 (Covishield)","included",2,"final","14+","shortness of breath/use of supplemental oxygen, hospitalization or death","severe","India","residents of congregate living facilities","general pop",99,90,99.8,NA,"delta","13 weeks",NA,NA,"India","IND",259,"IND",6820,2019,"India","South Asia","Lower middle income",2,"Asia","16/01/2021","24/12/2021",NA,"16/01/2021","16/01/2021",0,46,342,NA,46,"30-59","270-359","yes","yes","no","24/05/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,91,1,14,91,"yes",NA,0,99,90,99.8,0.01,0.002,0.1,-4.60517018598809,0.997965052405139
"74",127,127,310,"Penayo","Test-negative case-control","01Jun2022","AZD1222 (AstraZeneca)","included",2,"final","14+","hospitalization with SARI","severe","Paraguay",">=18 years","general pop",83,66.3,91.5,NA,"delta","~33 weeks",NA,NA,"Paraguay","PRY",310,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America","23/02/2021","10/12/2021",NA,"22/02/2021","22/02/2021",1,83,291,NA,83,"60-89","270-359","yes","yes","no","01/06/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,231,1,14,231,"yes",NA,0,83,66.3,91.5,0.17,0.085,0.337,-1.77195684193187,0.351385631087257
"75",128,128,311,"Monge","Case cohort","02Sept2022","AZD1222 (AstraZeneca)","included",2,"final","14+","hospitalization","severe","Spain","50-59 years","50-59 years",96,93,98,NA,"delta","~21 weeks",NA,NA,"Spain","ESP",311,"ESP",43160,2019,"Spain","Europe & Central Asia","High income",4,"Europe","04/01/2021","04/07/2021","31/08/2021","30/12/2020","30/12/2020",5,29,186,244,29,"<30","180-269","yes","yes","yes","02/09/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,147,1,14,147,"yes",NA,0,96,93,98,0.04,0.02,0.07,-3.2188758248682,0.319582389922287
"76",129,129,345,"Clemens","Test-negative case-control","13Oct2022","AZD1222 (AstraZeneca)","included",2,"final","14+","severe disease","severe","Brazil","18-60 years","18-60 years",100,44.3,100,NA,"delta","~12.5 weeks",NA,NA,"Brazil","BRA",345,"BRA",14890,2019,"Brazil","Latin America & Caribbean","Upper middle income",3,"South America","19/01/2021","24/09/2021","05/02/2022","17/01/2021","17/01/2021",2,47,250,384,47,"30-59","180-269","yes","yes","yes","13/10/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,87.5,1,14,87.5,"yes",NA,0,99.5,44.3,99.9,0.005,0.00099999999999989,0.557,-5.29831736654804,1.61289929589985
"77",130,130,366,"Battacharya","Test-negative case-control","06Jan2023","AZD1222 (Covishield)","included",2,"final","7+","hospitalization with symptoms of pulmonary disease","severe","India",">=18 years","general pop",79,53.1,81,NA,"delta","~22 weeks",NA,NA,"India","IND",366,"IND",6820,2019,"India","South Asia","Lower middle income",2,"Asia","16/01/2021","24/12/2021",NA,"16/01/2021","16/01/2021",0,46,342,NA,46,"30-59","270-359","yes","yes","no","06/01/2023","severe","2023 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,154,1,7,154,"yes",NA,0,79,53.1,81,0.21,0.19,0.469,-1.56064774826467,0.230504769460662
"78",131,131,418,"Paternina-Caicedo","Test-negative case-control","09Sep2023","AZD1222 (AstraZeneca)","excluded",2,"final","14+","hospitalization","severe","Colombia",">=5 years","general pop",71,27,89,NA,"delta","~32 weeks",NA,NA,"Colombia","COL",418,"COL",15530,2019,"Colombia","Latin America & Caribbean","Upper middle income",3,"South America","18/02/2021","26/10/2021","29/07/2022","17/02/2021","17/02/2021",1,78,251,527,78,"60-89","180-269","yes","yes","no","09/09/2023","severe","2023 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,224,1,14,224,"yes",NA,0,71,27,89,0.29,0.11,0.73,-1.23787435600162,0.482796981721944
"79",132,132,420,"Irala","Test-negative case-control","15Sep2023","AZD1222 (AstraZeneca)","included",2,"final","14+","hospitalization due to SARI","severe","Paraguay",">=5 years","general pop",83.2,67.8,91.9,NA,"delta","~37 weeks",NA,NA,"Paraguay","PRY",420,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America","23/02/2021","10/12/2021",NA,"22/02/2021","22/02/2021",1,83,291,NA,83,"60-89","270-359","yes","yes","no","15/09/2023","severe","2023 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,259,1,14,259,"yes",NA,0,83.2,67.8,91.9,0.168,0.081,0.322,-1.78379129957888,0.352066936446931
