,study ID,first author,study design,publication date,primary series vaccine,historyofCOVID,dose_number,dose,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,dose interval,notes,country_clean,iso3c,Study_id_f,Country.Code,GNI_per_c_WB,year_GNI,Economy,Region,Income group,q_GNI_per_c_WB,continent,owid_vac_intro,owid_vac_F40,owid_vac_F70,who_vac_intro,min_vac_intro,diff_owid_who_intro,diff_min_vac_intro_8Dec2020,diff_intro_F40,diff_intro_F70,diff_min_vac_intro_8Dec2020_clean,V1_date_group,V1_group,V40_date_group,V40_group,V1_dummy,V40_dummy,V70_dummy,publication_date,outcome_final,semester,clean_vaccine,vac_type,variant_clean,include_population,inclusion_notes,max_follow_up_days,n_estimates,min_period_days,max_period_days,include,justification,sensitivity
45,387,Altarawneh,Test-negative case-control,27-Jul-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,"severe, critical or fatal disease",severe,Qatar,all ages,general pop,91.1,86.3,94.2,NA,delta,~48 weeks,NA,NA,Qatar,QAT,387,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,27/07/2023,severe,2023 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,336,1,14,336,yes,NA,0
46,418,Paternina-Caicedo,Test-negative case-control,09-Sep-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,hospitalization,severe,Colombia,>=5 years,general pop,91,79,96,NA,delta,~36 weeks,NA,NA,Colombia,COL,418,COL,6630,2019,Colombia,Latin America & Caribbean,Upper middle income,3,South America,18/02/2021,26/10/2021,29/07/2022,17/02/2021,17/02/2021,1,71,251,527,71,Feb-21,60-89,Sep-Nov/2021,180-269,yes,yes,no,09/09/2023,severe,2023 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,252,1,14,252,yes,NA,0
47,422,Mimura,Retrospective cohort,23-Sep-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,7+,hospitalization,severe,Japan,>=65 years,>=65 years,93.5,83.7,100,NA,delta,~22 weeks,NA,NA,Japan,JPN,422,JPN,41970,2019,Japan,East Asia & Pacific,High income,4,Asia,22/02/2021,11/08/2021,16/10/2021,17/02/2021,17/02/2021,5,71,175,241,71,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,23/09/2023,severe,2023 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,154,1,7,154,yes,NA,1
48,426,Hernandez-Avila,Test-negative case-control,19-Oct-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,<91,hospitalization with ARI,severe,Mexico,>=65 years,>=65 years,87.5,84.9,89.7,NA,delta,~33 weeks,NA,NA,Mexico,MEX,426,MEX,9860,2019,Mexico,Latin America & Caribbean,Upper middle income,3,North America,27/12/2020,18/10/2021,NA,24/12/2020,24/12/2020,3,16,298,NA,16,before jan/2021,<30,Sep-Nov/2021,270-359,yes,yes,no,19/10/2023,severe,2023 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,231,4,NA,91,yes,NA,1
49,426,Hernandez-Avila,Test-negative case-control,19-Oct-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,141+,hospitalization with ARI,severe,Mexico,>=65 years,>=65 years,80.5,77.4,83.2,NA,delta,~33 weeks,NA,NA,Mexico,MEX,426,MEX,9860,2019,Mexico,Latin America & Caribbean,Upper middle income,3,North America,27/12/2020,18/10/2021,NA,24/12/2020,24/12/2020,3,16,298,NA,16,before jan/2021,<30,Sep-Nov/2021,270-359,yes,yes,no,19/10/2023,severe,2023 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,231,4,141,231,no,sequential period,1
50,426,Hernandez-Avila,Test-negative case-control,19-Oct-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,<91,severe disease,severe,Mexico,>=65 years,>=65 years,90.4,87.8,92.4,NA,delta,~33 weeks,NA,NA,Mexico,MEX,426,MEX,9860,2019,Mexico,Latin America & Caribbean,Upper middle income,3,North America,27/12/2020,18/10/2021,NA,24/12/2020,24/12/2020,3,16,298,NA,16,before jan/2021,<30,Sep-Nov/2021,270-359,yes,yes,no,19/10/2023,severe,2023 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,231,4,NA,91,no,duplicated endpoint (use hospitalisation),1
51,426,Hernandez-Avila,Test-negative case-control,19-Oct-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,141+,severe disease,severe,Mexico,>=65 years,>=65 years,85.3,82.3,87.8,NA,delta,~33 weeks,NA,NA,Mexico,MEX,426,MEX,9860,2019,Mexico,Latin America & Caribbean,Upper middle income,3,North America,27/12/2020,18/10/2021,NA,24/12/2020,24/12/2020,3,16,298,NA,16,before jan/2021,<30,Sep-Nov/2021,270-359,yes,yes,no,19/10/2023,severe,2023 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,delta,yes,NA,231,4,141,231,no,duplicated endpoint (use hospitalisation),1
52,49,Nasreen,Test-negative case-control,07-Feb-22,mRNA-1273 (Moderna),unknown,2,final,14+,hospitalization or death,severe,Canada,general pop,general pop,98,93,100,delta,delta,~25 weeks,NA,NA,Canada,CAN,49,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,07/02/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,175,1,14,175,yes,NA,0
53,74,Tang,Test-negative case-control,02-Nov-21,mRNA-1273 (Moderna),included,2,final,14+,"severe, critical, fatal disease",severe,Qatar,general pop,general pop,96.1,71.4,99.5,delta,delta,~25 weeks,NA,NA,Qatar,QAT,74,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,02/11/2021,severe,2021 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,175,1,14,175,yes,NA,0
54,92,Grannis,Test-negative case-control,10-Sep-21,mRNA-1273 (Moderna),included,2,final,14+,hospitalization,severe,USA,>= 18 years,general pop,95,92,97,NA,delta,4 weeks,NA,NA,USA,USA,92,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,10/09/2021,severe,2021 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,28,1,14,28,yes,NA,0
55,95,Andrews,Test-negative case-control,12-Jan-22,mRNA-1273 (Moderna),excluded,2,final,14-69,hospitalization,severe,UK,>= 16 years,general pop,100,NA,NA,delta,delta,~7 weeks,NA,NA,UK,GBR,95,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,12/01/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,49,1,14,69,yes,NA,0
56,104,Bruxvoort,Test-negative case-control,15-Dec-21,mRNA-1273 (Moderna),excluded,2,final,14+,hospitalization,severe,USA,>= 18 years,general pop,97.5,92.7,99.2,delta,delta,~25 weeks,NA,NA,USA,USA,104,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,15/12/2021,severe,2021 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,175,1,14,175,yes,NA,0
57,114,Skowronski,Test-negative case-control,19-Apr-22,mRNA-1273 (Moderna),excluded,2,final,14+,hospitalization,severe,Canada,>= 18 years,general pop,97,97,98,delta,delta,~38 weeks,NA,NA,Canada,CAN,114,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,19/04/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,266,3,14,266,yes,NA,0
58,114,Skowronski,Test-negative case-control,19-Apr-22,mRNA-1273 (Moderna),excluded,2,final,14-27,hospitalization,severe,Canada,>= 18 years,general pop,98,94,100,delta,delta,~38 weeks,NA,NA,Canada,CAN,114,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,19/04/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,266,3,14,27,no,nested period,0
59,114,Skowronski,Test-negative case-control,19-Apr-22,mRNA-1273 (Moderna),excluded,2,final,196-223,hospitalization,severe,Canada,>= 18 years,general pop,95,80,99,delta,delta,~38 weeks,NA,NA,Canada,CAN,114,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,19/04/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,266,3,196,223,no,nested period,0
60,159,Tseng,Test-negative case-control,21-Feb-22,mRNA-1273 (Moderna),included,2,final,14+,Hospitalization,severe,USA,>= 18 years,general pop,99,93.3,99.9,delta,delta,~47.5 weeks,NA,NA,USA,USA,159,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,21/02/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,332.5,1,14,332.5,yes,NA,0
61,174,Lytras,Retrospective cohort,14-Jun-22,mRNA-1273 (Moderna),included,2,final,14+,intubation,severe,Greece,15-59 years,15-59 years,99.4,98.2,99.8,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,336,6,14,336,yes,NA,0
62,174,Lytras,Retrospective cohort,14-Jun-22,mRNA-1273 (Moderna),included,2,final,6 months,intubation,severe,Greece,15-59 years,15-59 years,97.3,93.1,98.9,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,336,6,180,336,no,nested period,0
63,174,Lytras,Retrospective cohort,14-Jun-22,mRNA-1273 (Moderna),included,2,final,14+,intubation,severe,Greece,60-79 years,60-79 years,98.9,97.3,99.5,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,336,6,14,336,yes,NA,1
64,174,Lytras,Retrospective cohort,14-Jun-22,mRNA-1273 (Moderna),included,2,final,6 months,intubation,severe,Greece,60-79 years,60-79 years,95.1,93,96.5,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,336,6,180,336,no,nested period,1
65,174,Lytras,Retrospective cohort,14-Jun-22,mRNA-1273 (Moderna),included,2,final,14+,intubation,severe,Greece,>= 80 years,>= 80 years,97.9,90.2,99.5,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,336,6,14,336,yes,NA,1
66,174,Lytras,Retrospective cohort,14-Jun-22,mRNA-1273 (Moderna),included,2,final,6 months,intubation,severe,Greece,>= 80 years,>= 80 years,90.6,67,97.3,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,336,6,180,336,no,nested period,1
67,178,Lauring,Test-negative case-control,09-Mar-22,mRNA-1273 (Moderna),excluded,2,final,14+,hospitalization,severe,USA,>= 18 years,general pop,88,86,90,delta,delta,~27 weeks,NA,NA,USA,USA,178,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,09/03/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,189,1,14,189,yes,NA,0
68,194,Smid,Retrospective cohort,15-Oct-22,mRNA-1273 (Moderna),included,2,final,14-74,hospitalization,severe,Czech Republic,all ages,general pop,100,NA,NA,NA,delta,~54 weeks,NA,NA,Czech Republic,CZE,194,CZE,22100,2019,Czechia,Europe & Central Asia,High income,3,Europe,27/12/2020,16/07/2021,NA,23/12/2020,23/12/2020,4,15,205,NA,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,no,15/10/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,378,2,14,74,yes,NA,0
69,194,Smid,Retrospective cohort,15-Oct-22,mRNA-1273 (Moderna),included,2,final,135+,hospitalization,severe,Czech Republic,all ages,general pop,82,78,85,NA,delta,~54 weeks,NA,NA,Czech Republic,CZE,194,CZE,22100,2019,Czechia,Europe & Central Asia,High income,3,Europe,27/12/2020,16/07/2021,NA,23/12/2020,23/12/2020,4,15,205,NA,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,no,15/10/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,378,2,135,378,no,sequential period,0
70,203,Baum,Retrospective cohort,05-Nov-22,mRNA-1273 (Moderna),excluded,2,final,14-90,hospitalization,severe,Finland,>= 70 years,>= 70 years,92,42,99,NA,delta,~48.5 weeks,NA,NA,Finland,FIN,203,FIN,49950,2019,Finland,Europe & Central Asia,High income,4,Europe,17/01/2021,15/08/2021,31/10/2021,23/12/2020,23/12/2020,25,15,235,312,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,05/11/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,339.5,2,14,90,yes,NA,1
71,203,Baum,Retrospective cohort,05-Nov-22,mRNA-1273 (Moderna),excluded,2,final,181+,hospitalization,severe,Finland,>= 70 years,>= 70 years,87,70,94,NA,delta,~48.5 weeks,NA,NA,Finland,FIN,203,FIN,49950,2019,Finland,Europe & Central Asia,High income,4,Europe,17/01/2021,15/08/2021,31/10/2021,23/12/2020,23/12/2020,25,15,235,312,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,05/11/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,339.5,2,181,339.5,no,sequential period,1
72,218,Starrfelt,Retrospective cohort,30-Mar-22,mRNA-1273 (Moderna),excluded,2,final,18-25 weeks,hospitalization,severe,Norway,>= 18 years,general pop,95.3,91.5,97.4,NA,delta,~23 weeks,NA,NA,Norway,NOR,218,NOR,82430,2019,Norway,Europe & Central Asia,High income,4,Europe,28/12/2020,12/08/2021,18/11/2021,23/12/2020,23/12/2020,5,15,232,330,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,30/03/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,161,2,126,175,yes,NA,0
73,218,Starrfelt,Retrospective cohort,30-Mar-22,mRNA-1273 (Moderna),excluded,2,final,26-33 weeks,hospitalization,severe,Norway,>= 18 years,general pop,91.1,84.9,94.8,NA,delta,~31 weeks,NA,NA,Norway,NOR,218,NOR,82430,2019,Norway,Europe & Central Asia,High income,4,Europe,28/12/2020,12/08/2021,18/11/2021,23/12/2020,23/12/2020,5,15,232,330,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,30/03/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,217,2,182,231,no,sequential period,0
74,230,Plumb,Test-negative case-control,12-Apr-22,mRNA-1273 (Moderna),included,2,final,14+,hospitalization,severe,USA,hospitalized adults,general pop,44,29.9,55.2,NA,delta,~55 weeks,NA,NA,USA,USA,230,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,12/04/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,385,1,14,385,yes,NA,0
75,235,Voko,Retrospective cohort,22-Jul-22,mRNA-1273 (Moderna),included,2,final,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,84.9,75.4,90.8,NA,delta,~47 weeks,NA,NA,Hungary,HUN,235,HUN,16570,2019,Hungary,Europe & Central Asia,High income,3,Europe,28/12/2020,05/06/2021,NA,23/12/2020,23/12/2020,5,15,164,NA,15,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,no,22/07/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,329,2,14,120,yes,NA,0
76,235,Voko,Retrospective cohort,22-Jul-22,mRNA-1273 (Moderna),included,2,final,240+,hospitalization,severe,Hungary,18-64 years,18-64 years,42.5,-4,68.2,NA,delta,~47 weeks,NA,NA,Hungary,HUN,235,HUN,16570,2019,Hungary,Europe & Central Asia,High income,3,Europe,28/12/2020,05/06/2021,NA,23/12/2020,23/12/2020,5,15,164,NA,15,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,no,22/07/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,329,2,240,329,no,sequential period,0
77,310,Penayo,Test-negative case-control,01-Jun-22,mRNA-1273 (Moderna),included,2,final,14+,hospitalization with SARI,severe,Paraguay,>=18 years,general pop,76.1,-127.4,97.5,NA,delta,~37 weeks,NA,NA,Paraguay,PRY,310,PRY,5950,2019,Paraguay,Latin America & Caribbean,Upper middle income,2,South America,23/02/2021,10/12/2021,NA,22/02/2021,22/02/2021,1,76,291,NA,76,Feb-21,60-89,Dec/2021 +,270-359,yes,yes,no,01/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,259,1,14,259,yes,NA,0
78,311,Monge,Case cohort,02-Sep-22,mRNA-1273 (Moderna),included,2,final,14+,hospitalization,severe,Spain,50-59 years,50-59 years,98,97,99,NA,delta,~21 weeks,NA,NA,Spain,ESP,311,ESP,30370,2019,Spain,Europe & Central Asia,High income,4,Europe,04/01/2021,04/07/2021,31/08/2021,30/12/2020,30/12/2020,5,22,186,244,22,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,02/09/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,147,1,14,147,yes,NA,0
79,326,Lin,Retrospective cohort,26-Sep-22,mRNA-1273 (Moderna),included,2,final,~24 weeks,hospitalization,severe,USA,>=5 years,general pop,89.8,88.1,91.3,NA,delta,~24 weeks,NA,Note: this study includes additional VE estimates for individuals vaccinated during different time periods,USA,USA,326,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,26/09/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,168,2,NA,168,yes,NA,0
80,326,Lin,Retrospective cohort,26-Sep-22,mRNA-1273 (Moderna),included,2,final,~37 weeks,hospitalization,severe,USA,>=5 years,general pop,72.7,67.8,77,NA,delta,~37 weeks,NA,Note: this study includes additional VE estimates for individuals vaccinated during different time periods,USA,USA,326,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,26/09/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,259,2,NA,259,no,sequential period,0
81,336,Embi,Test-negative case-control,22-May-23,mRNA-1273 (Moderna),included,2,final,14-149,hospitalization with COVID-like illness,severe,USA,immunocompetent adults >=18 years,immunocompetent adults,95,92,95,NA,delta,~46 weeks,NA,NA,USA,USA,336,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,22/05/2023,severe,2023 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,322,2,14,149,yes,NA,0
82,336,Embi,Test-negative case-control,22-May-23,mRNA-1273 (Moderna),included,2,final,150+,hospitalization with COVID-like illness,severe,USA,immunocompetent adults >=18 years,immunocompetent adults,89,88,90,NA,delta,~46 weeks,NA,NA,USA,USA,336,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,22/05/2023,severe,2023 (Jan-Jun),Moderna mRNA-1273,mRNA,delta,yes,NA,322,2,150,322,no,sequential period,0
83,387,Altarawneh,Test-negative case-control,27-Jul-23,mRNA-1273 (Moderna),excluded,2,final,14+,"severe, critical or fatal disease",severe,Qatar,all ages,general pop,97.9,91.2,99.5,NA,delta,~48 weeks,NA,NA,Qatar,QAT,387,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,27/07/2023,severe,2023 (Jul-Dec),Moderna mRNA-1273,mRNA,delta,yes,NA,336,1,14,336,yes,NA,0
84,43,Stowe,Test-negative case-control,14-Jun-21,AZD1222 (AstraZeneca),included,2,final,14+,hospitalization,severe,UK,hospital patients,general pop,92,75,97,delta,delta,~20 weeks,NA,NA,UK,GBR,43,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,14/06/2021,severe,2021 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,140,1,14,140,yes,NA,0
85,49,Nasreen,Test-negative case-control,07-Feb-22,AZD1222 (AstraZeneca),unknown,2,final,14+,hospitalization or death,severe,Canada,general pop,general pop,90,67,97,delta,delta,~3 weeks,NA,NA,Canada,CAN,49,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,07/02/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,21,1,14,21,yes,NA,0
86,95,Andrews,Test-negative case-control,12-Jan-22,AZD1222 (AstraZeneca),excluded,2,final,14+,hospitalization,severe,UK,>= 16 years,general pop,92.5,92,93,delta,delta,~20.5 weeks,NA,NA,UK,GBR,95,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,12/01/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,143.5,3,14,143.5,yes,NA,0
87,95,Andrews,Test-negative case-control,12-Jan-22,AZD1222 (AstraZeneca),excluded,2,final,14-69,hospitalization,severe,UK,>= 16 years,general pop,95.2,94.6,95.6,delta,delta,~8 weeks,NA,NA,UK,GBR,95,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,12/01/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,56,3,14,69,no,nested period,0
88,95,Andrews,Test-negative case-control,12-Jan-22,AZD1222 (AstraZeneca),excluded,2,final,140+,hospitalization,severe,UK,>= 16 years,general pop,77,70.3,82.3,delta,delta,~20.5 weeks,NA,NA,UK,GBR,95,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,12/01/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,143.5,3,140,143.5,no,nested period,0
89,114,Skowronski,Test-negative case-control,19-Apr-22,AZD1222 (AstraZeneca),excluded,2,final,14+,Hospitalization,severe,Canada,>= 18 years,general pop,95,93,97,delta,delta,~38 weeks,NA,NA,Canada,CAN,114,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,19/04/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,266,3,14,266,yes,NA,0
90,114,Skowronski,Test-negative case-control,19-Apr-22,AZD1222 (AstraZeneca),excluded,2,final,28-55,Hospitalization,severe,Canada,>= 18 years,general pop,89,67,97,delta,delta,~38 weeks,NA,NA,Canada,CAN,114,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,19/04/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,266,3,28,55,no,nested period,0
